Clapeyron Database File,,,,,,,
UNIFAC Unlike Parameters,,,,,,,
species1,SMILES1,species2,SMILES2,A,B,C,source
CH3~|~CH2~|~CH~|~C,,ACF,,468.5,-1.042,0,
CH3~|~CH2~|~CH~|~C,,DMF~|~HCON(..,,406.2,0.6525,0,
CH3~|~CH2~|~CH~|~C,,CF3~|~CF2~|~CF,,342,-1.679,0,
CH3~|~CH2~|~CH~|~C,,COO,,1312,-3.643,0,
CH3~|~CH2~|~CH~|~C,,CY-CH2~|~CY-CH~|~CY-C,,-117.1,0.5481,-0.00098,
CH3~|~CH2~|~CH~|~C,,THF~|~CY-CH2O~|~TRIOXAN,,79.507,0.70892,-0.0020983,
CH3~|~CH2~|~CH~|~C,,HCOOH,,1935.7,0,0,
CH3~|~CH2~|~CH~|~C,,CHCL3,,164.25,-0.26834,0,
CH3~|~CH2~|~CH~|~C,,NMP~|~NEP~|~NIPP~|~NTBP,,677.32,-2.0066,0,
CH3~|~CH2~|~CH~|~C,,CONH2~|~CONHCH3~|~CONHCH2,,3150.86,-3.1003,0,
CH3~|~CH2~|~CH~|~C,,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,1529.52,-6.2025,0.00975,
CH3~|~CH2~|~CH~|~C,,HCONHCH3~|~HCONHCH2,,-923.282,7.80959,-0.008808,
CH3~|~CH2~|~CH~|~C,,AC2H2S~|~AC2HS~|~AC2S,,24.432,0.2915,0,
CH3~|~CH2~|~CH~|~C,,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,,269.67,0,0,
CH3~|~CH2~|~CH~|~C,,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,,407.47,-0.2037,-0.00016,
CH3~|~CH2~|~CH~|~C,,(CH2)2SU~|~CH2SUCH,,1058.31,-1.1856,0,
CH3~|~CH2~|~CH~|~C,,CH3S~|~CH2S~|~CHS,,860.51,-1.96009,0,
CH3~|~CH2~|~CH~|~C,,C3H2N2+~|~C3H3N2+,,70.38,0.24511,0,
CH3~|~CH2~|~CH~|~C,,BTI-,,1260.02,-4.55446,0.0067607,
CH3~|~CH2~|~CH~|~C,,C4H8N+,,283.8202,-3.9547,0.0103753,
CH3~|~CH2~|~CH~|~C,,BF4-,,360.8016,2.05302,-0.0166992,
CH3~|~CH2~|~CH~|~C,,C5H5N+~|~C5H4N+,,656.528,-4.2237,0.0074475,
CH3~|~CH2~|~CH~|~C,,OTF-,,1094.303,-1.11888,0,
CH3~|~CH2~|~CH~|~C,,-S-S-,,468.398,-2.55668,0,
CH3~|~CH2~|~CH~|~C,,SO4~|~HSO4,,1859.374,4.06308,0,
CH3~|~CH2~|~CH~|~C,,PF6,,4041.479,-3.90698,-0.0254482,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACH~|~AC,,174.1,-0.5886,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACCH3~|~ACCH2~|~ACCH,,117.3,-0.8552,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,OH (P)~|~OH (S)~|~OH (T),,2649,-6.508,0.004822,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3OH,,-628.07,10,-0.014972,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,H2O,,778.3,0.1482,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACOH,,1207,-1.955,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3CO~|~CH2CO,,179.8,0.69911,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CHO,,476.25,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3COO~|~CH2COO,,980.74,-2.4224,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,HCOO,,309.8,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3O~|~CH2O~|~CHO,,733.3,-2.509,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,,1857,-8.653001,0.01088,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3NH~|~CH2NH~|~CHNH,,224.8,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3N~|~CH2N,,165.3,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACNH2,,2800,-10.72,0.01339,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,AC2H2N~|~AC2HN~|~AC2N,,13.502,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3CN~|~CH2CN,,634.85,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,COOH,,-2026.1,8.1549,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH2CL~|~CHCL~|~CCL,,498.9,-1.487,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH2CL2~|~CHCL2~|~CCL2,,-44.958,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CCL3,,-204.51,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CCL4,,616.62,-2.1164,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACCL,,-56.69,9.805,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3NO2~|~CH2NO2~|~CHNO2,,417.6,0.08726,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CS2,,46.06,1.545,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,FURFURAL,,470.4,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,BR,,-19.82,0.5941,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH=-C~|~C=-C,,642.27,-3.8641,0.0055,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,DMSO,,-174.6,1.96,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACRY,,179.7,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CL-(C=C),,967.9,-0.03862,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACF,,141.1,-0.3025,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,DMF~|~HCON(..,,388.4,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,COO,,-339.8,1.297,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CY-CH2~|~CY-CH~|~CY-C,,2.406,-0.1882,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,THF~|~CY-CH2O~|~TRIOXAN,,-322.1,-0.20367,0.004517,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CHCL3,,389.28,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,NMP~|~NEP~|~NIPP~|~NTBP,,491.23,-1.8285,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CONH2~|~CONHCH3~|~CONHCH2,,673.2271,1.9523,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,249.18,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,HCONHCH3~|~HCONHCH2,,1171.32,3.92127,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,AC2H2S~|~AC2HS~|~AC2S,,-86.231,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,,9.389999,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,,-456.08,2.4334,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,(CH2)2SU~|~CH2SUCH,,775.56,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3S~|~CH2S~|~CHS,,324.316,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,C3H2N2+~|~C3H3N2+,,-44.3408,-0.65212,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,BTI-,,566.2915,-0.14057,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,C4H8N+,,-92.7302,-0.25088,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,BF4-,,1230.781,0.17033,0.0141503,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,C5H5N+~|~C5H4N+,,1625.909,-2.40107,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,OTF-,,2979.973,4.82369,-0.0272505,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-S-S-,,-740.2421,0,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,SO4~|~HSO4,,2487.632,-3.28182,0,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,PF6,,-2399.738,-0.27451,0.0329518,
ACH~|~AC,,ACCH3~|~ACCH2~|~ACCH,,139.2,-0.65,0,
ACH~|~AC,,OH (P)~|~OH (S)~|~OH (T),,3972,-13.16,0.01208,
ACH~|~AC,,CH3OH,,1604.3,-2.0299,0,
ACH~|~AC,,H2O,,792,-1.726,0,
ACH~|~AC,,ACOH,,1356,-2.118,0,
ACH~|~AC,,CH3CO~|~CH2CO,,146.2,-1.237,0.004237,
ACH~|~AC,,CHO,,-365.5,1.874,0,
ACH~|~AC,,CH3COO~|~CH2COO,,-274.54,0.91491,0,
ACH~|~AC,,HCOO,,170.5,-0.02393,0,
ACH~|~AC,,CH3O~|~CH2O~|~CHO,,-87.08,-0.1859,0,
ACH~|~AC,,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,,2036,-8.729,0.008138,
ACH~|~AC,,CH3NH~|~CH2NH~|~CHNH,,139.67,0.037692,0,
ACH~|~AC,,CH3N~|~CH2N,,-71.4,0.7078,0,
ACH~|~AC,,ACNH2,,1044.7,-1.7112,0,
ACH~|~AC,,AC2H2N~|~AC2HN~|~AC2N,,-1553.9,0.1615,0.0082,
ACH~|~AC,,CH3CN~|~CH2CN,,-17.44,0.9437,0,
ACH~|~AC,,COOH,,69.561,1.8881,0,
ACH~|~AC,,CH2CL~|~CHCL~|~CCL,,73.04601,-0.21322,0,
ACH~|~AC,,CH2CL2~|~CHCL2~|~CCL2,,133.66,-0.46141,0,
ACH~|~AC,,CCL3,,66.214,-0.63629,0,
ACH~|~AC,,CCL4,,269,-1.776,0.002645,
ACH~|~AC,,ACCL,,595.2,3.309,-0.02844,
ACH~|~AC,,CH3NO2~|~CH2NO2~|~CHNO2,,134.1,-0.8156,0.00145,
ACH~|~AC,,ACNO2,,936.3391,-4.4141,0.012232,
ACH~|~AC,,CS2,,3736,-25,0.04593,
ACH~|~AC,,CH3SH~|~CH2SH,,77.083,-0.3094,0,
ACH~|~AC,,FURFURAL,,331.6,0.3778,0,
ACH~|~AC,,DOH,,-148.14,2.2658,-0.00353,
ACH~|~AC,,I,,-82.28,0.5677,0,
ACH~|~AC,,BR,,-248.2,1.214,0,
ACH~|~AC,,DMSO,,347.6,-1.43,0,
ACH~|~AC,,CL-(C=C),,602.1,-7.798,0.01966,
ACH~|~AC,,ACF,,808,-5.331,0.006077,
ACH~|~AC,,DMF~|~HCON(..,,-81.68999,1.1229,-0.00105,
ACH~|~AC,,CF3~|~CF2~|~CF,,123.26,-0.6133,0,
ACH~|~AC,,COO,,-126.2,0.386,0,
ACH~|~AC,,CY-CH2~|~CY-CH~|~CY-C,,134.6,-1.231,0.001488,
ACH~|~AC,,THF~|~CY-CH2O~|~TRIOXAN,,-26.852,-0.44215,0,
ACH~|~AC,,HCOOH,,-1172,10.106,-0.01428,
ACH~|~AC,,CHCL3,,380.02,-0.23326,0,
ACH~|~AC,,NMP~|~NEP~|~NIPP~|~NTBP,,313.79,-1.1552,0,
ACH~|~AC,,CONH2~|~CONHCH3~|~CONHCH2,,1083.63,0.9144,-0.002141,
ACH~|~AC,,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,92.5,1.4186,1.80E-05,
ACH~|~AC,,HCONHCH3~|~HCONHCH2,,-103.146,2.6565,-0.002819,
ACH~|~AC,,AC2H2S~|~AC2HS~|~AC2S,,1412,-3.9917,0,
ACH~|~AC,,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,,392.56,0,0,
ACH~|~AC,,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,,849.08,-6.5044,0.01219,
ACH~|~AC,,(CH2)2SU~|~CH2SUCH,,-522.32,3.8856,-0.004212,
ACH~|~AC,,CH3S~|~CH2S~|~CHS,,454.316,-1.21943,0,
ACH~|~AC,,C3H2N2+~|~C3H3N2+,,277.4415,-0.1843,0,
ACH~|~AC,,BTI-,,825.9189,-4.35541,0.0085572,
ACH~|~AC,,C4H8N+,,-1304.107,3.87435,0.0039496,
ACH~|~AC,,BF4-,,626.9603,-4.30606,0,
ACH~|~AC,,C5H5N+~|~C5H4N+,,161.7745,-0.56713,0,
ACH~|~AC,,OTF-,,1690.065,-3.38808,0.0202432,
ACH~|~AC,,-S-S-,,-630.416,0,0,
ACH~|~AC,,SO4~|~HSO4,,1014.686,-1.73087,0,
ACH~|~AC,,PF6,,4899.846,-3.53433,-0.0358313,
ACCH3~|~ACCH2~|~ACCH,,OH (P)~|~OH (S)~|~OH (T),,3989,-14.09,0.0153,
ACCH3~|~ACCH2~|~ACCH,,CH3OH,,436.21,1.9094,0,
ACCH3~|~ACCH2~|~ACCH,,H2O,,1050.2,-1.9939,0,
ACCH3~|~ACCH2~|~ACCH,,ACOH,,1375,-1.702,0,
ACCH3~|~ACCH2~|~ACCH,,CH3CO~|~CH2CO,,1001,-1.871,0.000239,
ACCH3~|~ACCH2~|~ACCH,,CHO,,683.6,-1.02,0.000869,
ACCH3~|~ACCH2~|~ACCH,,CH3COO~|~CH2COO,,-242.5,2.72,-0.003449,
ACCH3~|~ACCH2~|~ACCH,,HCOO,,136.98,0,0,
ACCH3~|~ACCH2~|~ACCH,,CH3O~|~CH2O~|~CHO,,-595.1,2.978,0,
ACCH3~|~ACCH2~|~ACCH,,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,,2977,-19.16,0.03333,
ACCH3~|~ACCH2~|~ACCH,,CH3NH~|~CH2NH~|~CHNH,,1250,0,0,
ACCH3~|~ACCH2~|~ACCH,,CH3N~|~CH2N,,-2631,13.56,-0.007036,
ACCH3~|~ACCH2~|~ACCH,,ACNH2,,4000,-16.68,0.02112,
ACCH3~|~ACCH2~|~ACCH,,AC2H2N~|~AC2HN~|~AC2N,,135.3,-2.369,0.0039,
ACCH3~|~ACCH2~|~ACCH,,CH3CN~|~CH2CN,,208.1,1.333,0,
ACCH3~|~ACCH2~|~ACCH,,COOH,,1352.5,0,0,
ACCH3~|~ACCH2~|~ACCH,,CH2CL~|~CHCL~|~CCL,,-46.994,0.30443,0,
ACCH3~|~ACCH2~|~ACCH,,CH2CL2~|~CHCL2~|~CCL2,,213.85,0.19998,0,
ACCH3~|~ACCH2~|~ACCH,,CCL3,,192.52,-0.25363,0,
ACCH3~|~ACCH2~|~ACCH,,CCL4,,-106.2,0.6081,0,
ACCH3~|~ACCH2~|~ACCH,,ACCL,,-113.6,19.72,0,
ACCH3~|~ACCH2~|~ACCH,,CH3NO2~|~CH2NO2~|~CHNO2,,1358,-9.968,0.02093,
ACCH3~|~ACCH2~|~ACCH,,ACNO2,,391.044,0.196357,2.25E-05,
ACCH3~|~ACCH2~|~ACCH,,CS2,,2586,-9.5,0.008819,
ACCH3~|~ACCH2~|~ACCH,,FURFURAL,,157.9,1.408,0,
ACCH3~|~ACCH2~|~ACCH,,DOH,,1856.45,5.9959,-0.01862,
ACCH3~|~ACCH2~|~ACCH,,I,,69,0.4317,0,
ACCH3~|~ACCH2~|~ACCH,,BR,,277,-0.5955,0,
ACCH3~|~ACCH2~|~ACCH,,DMSO,,88.93,0.2236,0,
ACCH3~|~ACCH2~|~ACCH,,CL-(C=C),,234.2,-0.2311,0,
ACCH3~|~ACCH2~|~ACCH,,ACF,,-172.2,0.2257,0,
ACCH3~|~ACCH2~|~ACCH,,DMF~|~HCON(..,,444.29,0.1947,0,
ACCH3~|~ACCH2~|~ACCH,,CF3~|~CF2~|~CF,,29.57,0,0,
ACCH3~|~ACCH2~|~ACCH,,COO,,2303,-6.346,0,
ACCH3~|~ACCH2~|~ACCH,,CY-CH2~|~CY-CH~|~CY-C,,-107.1,0.2564,0,
ACCH3~|~ACCH2~|~ACCH,,THF~|~CY-CH2O~|~TRIOXAN,,-26.486,-0.29519,0,
ACCH3~|~ACCH2~|~ACCH,,HCOOH,,-514.79,4.9372,0,
ACCH3~|~ACCH2~|~ACCH,,CHCL3,,297.73,-0.24204,0,
ACCH3~|~ACCH2~|~ACCH,,NMP~|~NEP~|~NIPP~|~NTBP,,72.26,-0.1919,0,
ACCH3~|~ACCH2~|~ACCH,,CONH2~|~CONHCH3~|~CONHCH2,,1696.96,-0.7064,0,
ACCH3~|~ACCH2~|~ACCH,,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,76.73,0.9394,-0.00045,
ACCH3~|~ACCH2~|~ACCH,,HCONHCH3~|~HCONHCH2,,-182.325,3.36729,-0.004625,
ACCH3~|~ACCH2~|~ACCH,,AC2H2S~|~AC2HS~|~AC2S,,1000.8,-2.5194,0,
ACCH3~|~ACCH2~|~ACCH,,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,,164.05,0,0,
ACCH3~|~ACCH2~|~ACCH,,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,,558.08,0.565,-0.00331,
ACCH3~|~ACCH2~|~ACCH,,(CH2)2SU~|~CH2SUCH,,-307.42,4.1819,-0.007723,
ACCH3~|~ACCH2~|~ACCH,,CH3S~|~CH2S~|~CHS,,629.463,-1.39039,0,
ACCH3~|~ACCH2~|~ACCH,,C3H2N2+~|~C3H3N2+,,930.7075,-4.30401,0.007841,
ACCH3~|~ACCH2~|~ACCH,,BTI-,,-313.9384,2.06128,0,
ACCH3~|~ACCH2~|~ACCH,,C4H8N+,,-935.3928,1.26386,0.0041351,
ACCH3~|~ACCH2~|~ACCH,,BF4-,,524.3056,-4.26859,0,
ACCH3~|~ACCH2~|~ACCH,,C5H5N+~|~C5H4N+,,453.4621,-2.03845,0,
ACCH3~|~ACCH2~|~ACCH,,OTF-,,1077.47,-2.43883,0,
ACCH3~|~ACCH2~|~ACCH,,-S-S-,,-478.068,0,0,
ACCH3~|~ACCH2~|~ACCH,,SO4~|~HSO4,,1113.436,-0.428312,0,
ACCH3~|~ACCH2~|~ACCH,,PF6,,335.1104,2.26653,0.0239277,
OH (P)~|~OH (S)~|~OH (T),,CH3OH,,346.31,-2.4583,0.0029287,
OH (P)~|~OH (S)~|~OH (T),,H2O,,-801.9,3.824,-0.007514,
OH (P)~|~OH (S)~|~OH (T),,ACOH,,83.91,-1.262,0,
OH (P)~|~OH (S)~|~OH (T),,CH3CO~|~CH2CO,,-250,2.857,-0.006022,
OH (P)~|~OH (S)~|~OH (T),,CHO,,-281.4,2.379,-0.006668,
OH (P)~|~OH (S)~|~OH (T),,CH3COO~|~CH2COO,,973.8,-5.633,0.00769,
OH (P)~|~OH (S)~|~OH (T),,HCOO,,235.9,-0.5874,0,
OH (P)~|~OH (S)~|~OH (T),,CH3O~|~CH2O~|~CHO,,816.7,-5.092,0.006065,
OH (P)~|~OH (S)~|~OH (T),,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,,-923.7,2.468,0,
OH (P)~|~OH (S)~|~OH (T),,CH3NH~|~CH2NH~|~CHNH,,-355.1,0.58,0,
OH (P)~|~OH (S)~|~OH (T),,CH3N~|~CH2N,,104.6,-5.014,0.008854,
OH (P)~|~OH (S)~|~OH (T),,ACNH2,,-1114,5.916,-0.007126,
OH (P)~|~OH (S)~|~OH (T),,AC2H2N~|~AC2HN~|~AC2N,,-3061.2,9.5413,0.1842,
OH (P)~|~OH (S)~|~OH (T),,CH3CN~|~CH2CN,,123.5,0.8503,-0.002478,
OH (P)~|~OH (S)~|~OH (T),,COOH,,-1295,4.3634,0,
OH (P)~|~OH (S)~|~OH (T),,CH2CL~|~CHCL~|~CCL,,238.1,-0.7077,0,
OH (P)~|~OH (S)~|~OH (T),,CH2CL2~|~CHCL2~|~CCL2,,-126,0.1322,0,
OH (P)~|~OH (S)~|~OH (T),,CCL3,,1314.8,0,0,
OH (P)~|~OH (S)~|~OH (T),,CCL4,,925.6,-2.027,0,
OH (P)~|~OH (S)~|~OH (T),,ACCL,,1862,32.07,-0.009397,
OH (P)~|~OH (S)~|~OH (T),,CH3NO2~|~CH2NO2~|~CHNO2,,741.8,-2.098,0,
OH (P)~|~OH (S)~|~OH (T),,ACNO2,,2100,0,0,
OH (P)~|~OH (S)~|~OH (T),,FURFURAL,,738.4,-1.771,0,
OH (P)~|~OH (S)~|~OH (T),,DOH,,499.8,-2.41,0,
OH (P)~|~OH (S)~|~OH (T),,I,,838.8,0,0,
OH (P)~|~OH (S)~|~OH (T),,BR,,699.7,-1.767,0,
OH (P)~|~OH (S)~|~OH (T),,CH=-C~|~C=-C,,-148.9,1.034,0,
OH (P)~|~OH (S)~|~OH (T),,DMSO,,190.4,-1.2,0,
OH (P)~|~OH (S)~|~OH (T),,ACRY,,1117,-2.196,0,
OH (P)~|~OH (S)~|~OH (T),,CL-(C=C),,439.4,0,0,
OH (P)~|~OH (S)~|~OH (T),,ACF,,848.6,0,0,
OH (P)~|~OH (S)~|~OH (T),,DMF~|~HCON(..,,1036,-2.995,0,
OH (P)~|~OH (S)~|~OH (T),,COO,,403.8,-0.9346,0,
OH (P)~|~OH (S)~|~OH (T),,CY-CH2~|~CY-CH~|~CY-C,,3121,-13.69,0.01446,
OH (P)~|~OH (S)~|~OH (T),,THF~|~CY-CH2O~|~TRIOXAN,,401.89,-0.43627,-0.002004,
OH (P)~|~OH (S)~|~OH (T),,CHCL3,,-32.643,-0.010434,0,
OH (P)~|~OH (S)~|~OH (T),,NMP~|~NEP~|~NIPP~|~NTBP,,1201.3,-4.6803,0,
OH (P)~|~OH (S)~|~OH (T),,CONH2~|~CONHCH3~|~CONHCH2,,186.24,-3.1349,0.007737,
OH (P)~|~OH (S)~|~OH (T),,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,1627.81,-5.8598,0.005497,
OH (P)~|~OH (S)~|~OH (T),,HCONHCH3~|~HCONHCH2,,-150.961,0.527951,0,
OH (P)~|~OH (S)~|~OH (T),,AC2H2S~|~AC2HS~|~AC2S,,-3745,4.5137,0.0636,
OH (P)~|~OH (S)~|~OH (T),,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,,495.28,-2.6496,0.00159,
OH (P)~|~OH (S)~|~OH (T),,(CH2)2SU~|~CH2SUCH,,34.94,1.0075,-0.002547,
OH (P)~|~OH (S)~|~OH (T),,CH3S~|~CH2S~|~CHS,,1105.94,-1.68763,0,
OH (P)~|~OH (S)~|~OH (T),,C3H2N2+~|~C3H3N2+,,292.6468,-1.59145,0,
OH (P)~|~OH (S)~|~OH (T),,BTI-,,1026.29,-3.17777,0,
OH (P)~|~OH (S)~|~OH (T),,C4H8N+,,-348.7564,1.92474,0,
OH (P)~|~OH (S)~|~OH (T),,BF4-,,-2448.212,-2.13997,0.0332832,
OH (P)~|~OH (S)~|~OH (T),,C5H5N+~|~C5H4N+,,1178.048,5.33766,0,
OH (P)~|~OH (S)~|~OH (T),,OTF-,,-159.8631,2.41804,0,
OH (P)~|~OH (S)~|~OH (T),,-S-S-,,-367.321,0,0,
