Clapeyron Database File,,,,,
modified UNIFAC 2.0 (Dortmund) Unlike Parameters [csvtype = unlike,grouptype = UNIFACDortmund],,,,
CH3~|~CH2~|~CH~|~C,AC2H2N~|~AC2HN~|~AC2N,788.454,0.05285155,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3CN~|~CH2CN,861.0989,-0.38147902,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,COOH,540.46686,0.25869802,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH2CL~|~CHCL~|~CCL,304.28143,-0.1347945,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH2CL2~|~CHCL2~|~CCL2,238.12643,-0.105736606,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CCL3,116.280075,-0.002097851,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CCL4,55.32145,0.17819999,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,ACCL,417.32053,-0.04438372,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3NO2~|~CH2NO2~|~CHNO2,459.85785,-0.47680685,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,ACNO2,808.9171,0.40642577,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CS2,316.2216,0.5607299,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3SH~|~CH2SH,349.59293,-0.10561586,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,FURFURAL,927.8939,-0.05915424,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,DOH,472.75677,0.31994656,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,I,701.9009,-0.87580097,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,BR,446.92645,-0.38922495,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH=-C~|~C=-C,389.864,-0.38085175,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,DMSO,348.38223,-0.2932173,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,ACRY,658.75635,0.02692733,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CL-(C=C),68.038925,0.19701809,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,ACF,122.67047,-0.21017064,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,DMF~|~HCON(..,477.9327,0.309919,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CF3~|~CF2~|~CF,266.68036,-0.4443149,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,COO,734.49304,-1.0757807,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CY-CH2~|~CY-CH~|~CY-C,26.329878,-0.097218476,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,THF~|~CY-CH2O~|~TRIOXAN,177.0967,-0.067971244,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,HCOOH,413.77246,-0.11848941,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CHCL3,166.50632,0.30356094,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,NMP~|~NEP~|~NIPP~|~NTBP,350.05856,-0.36036223,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CONH2~|~CONHCH3~|~CONHCH2,1016.67206,0.7710491,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,672.5357,0.18310809,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,HCONHCH3~|~HCONHCH2,142.77711,0.8728611,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,AC2H2S~|~AC2HS~|~AC2S,121.12305,-0.27700588,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,336.04034,-0.40245745,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,462.4786,-0.1312144,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,(CH2)2SU~|~CH2SUCH,644.3363,-0.15224393,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,CH3S~|~CH2S~|~CHS,340.13086,0.2735396,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,C3H2N2+~|~C3H3N2+,145.07481,-0.15355071,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,BTI-,273.67337,0.72982466,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,C4H8N+,5.6077557,0.48901725,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,BF4-,480.83408,0.50705653,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,C5H5N+~|~C5H4N+,22.162987,-0.19642748,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,OTF-,585.31744,0.47649002,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,-S-S-,322.38467,-0.8548146,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,SO4~|~HSO4,203.8571,-0.30195546,0,10.48550/arXiv.2412.12962
CH3~|~CH2~|~CH~|~C,PF6,554.19653,0.48726344,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3~|~CH2~|~CH~|~C,16.500313,-0.16455168,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACH~|~AC,33.565105,0.17552395,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACCH3~|~ACCH2~|~ACCH,19.73204,-0.24708478,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,OH (P)~|~OH (S)~|~OH (T),1238.3473,-0.44359973,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3OH,1016.40625,0.21436596,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,H2O,198.54648,0.2868022,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACOH,590.4847,0.23053521,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3CO~|~CH2CO,257.7268,0.13576359,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,HCO,550.92633,0.4924542,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3COO~|~CH2COO,289.55008,-0.21446788,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,HCOO,367.61188,-0.48968676,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3O~|~CH2O~|~CHO,46.89835,-0.07816119,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,393.7762,-0.09212516,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3NH~|~CH2NH~|~CHNH,323.7645,-0.26461184,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3N~|~CH2N,77.76696,0.18367286,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACNH2,907.6889,-0.8593974,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,AC2H2N~|~AC2HN~|~AC2N,351.5073,-0.25756633,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3CN~|~CH2CN,450.4569,0.28721204,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,COOH,358.15994,1.1003932,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH2CL~|~CHCL~|~CCL,99.57063,0.12107062,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH2CL2~|~CHCL2~|~CCL2,49.62272,0.113661975,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CCL3,23.803818,0.054710977,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CCL4,2.119585,0.24604543,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACCL,212.63348,-0.8949563,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3NO2~|~CH2NO2~|~CHNO2,215.89624,0.1101374,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACNO2,494.20343,0.5748904,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CS2,250.08154,0.1627327,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3SH~|~CH2SH,171.06049,0.071053,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,FURFURAL,532.7924,0.31350917,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,DOH,347.237,0.49897915,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,I,376.0245,-0.17868242,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,BR,144.6633,0.07098474,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH=-C~|~C=-C,171.27022,0.16994913,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,DMSO,137.67302,-0.15533325,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACRY,394.99606,0.44405845,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CL-(C=C),16.18963,0.058871374,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACF,99.34563,-0.10059677,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,DMF~|~HCON(..,200.31021,0.39183056,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CF3~|~CF2~|~CF,153.76065,-0.35851592,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,COO,379.9678,-0.4331063,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CY-CH2~|~CY-CH~|~CY-C,44.204483,-0.17847331,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,THF~|~CY-CH2O~|~TRIOXAN,49.831776,0.049789898,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,HCOOH,265.02234,0.2175431,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CHCL3,11.735858,0.4129007,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,NMP~|~NEP~|~NIPP~|~NTBP,173.72858,0.04910941,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CONH2~|~CONHCH3~|~CONHCH2,673.7173,0.9572531,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,276.67578,0.5870135,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,HCONHCH3~|~HCONHCH2,79.11709,0.66679037,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,AC2H2S~|~AC2HS~|~AC2S,-8.387928,-0.042678338,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,111.2025,0.05324873,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,179.12224,0.01996299,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,(CH2)2SU~|~CH2SUCH,349.93506,0.69342977,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3S~|~CH2S~|~CHS,127.89002,0.64664406,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,C3H2N2+~|~C3H3N2+,41.966305,0.7597354,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,BTI-,165.9031,0.69166654,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,C4H8N+,-62.968826,0.7532845,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,BF4-,315.2692,0.3351324,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,C5H5N+~|~C5H4N+,-60.846176,0.001220024,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,OTF-,343.77844,1.0068071,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-S-S-,143.67914,-0.35355362,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,SO4~|~HSO4,-2.32745,0.19181232,0,10.48550/arXiv.2412.12962
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,PF6,300.76776,0.8328784,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3~|~CH2~|~CH~|~C,-13.408843,-0.25987723,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,15.343874,-0.22005068,0,10.48550/arXiv.2412.12962
ACH~|~AC,ACCH3~|~ACCH2~|~ACCH,36.213367,-0.28902203,0,10.48550/arXiv.2412.12962
ACH~|~AC,OH (P)~|~OH (S)~|~OH (T),1153.8345,-0.8862151,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3OH,990.7952,-0.07721441,0,10.48550/arXiv.2412.12962
ACH~|~AC,H2O,296.9907,0.13256712,0,10.48550/arXiv.2412.12962
ACH~|~AC,ACOH,673.32495,0.14366435,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3CO~|~CH2CO,70.96034,0.038772985,0,10.48550/arXiv.2412.12962
ACH~|~AC,HCO,421.05545,-0.016724,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3COO~|~CH2COO,124.74204,-0.22103384,0,10.48550/arXiv.2412.12962
ACH~|~AC,HCOO,243.14943,-0.43685648,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3O~|~CH2O~|~CHO,21.161385,-0.14380993,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,278.33328,-0.2701859,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3NH~|~CH2NH~|~CHNH,268.8035,-0.39638716,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3N~|~CH2N,-18.450823,0.048355263,0,10.48550/arXiv.2412.12962
ACH~|~AC,ACNH2,787.0134,-0.6973652,0,10.48550/arXiv.2412.12962
ACH~|~AC,AC2H2N~|~AC2HN~|~AC2N,206.31335,-0.06468689,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3CN~|~CH2CN,260.7921,0.00142013,0,10.48550/arXiv.2412.12962
ACH~|~AC,COOH,511.87683,0.69185704,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH2CL~|~CHCL~|~CCL,33.825787,-0.083617024,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH2CL2~|~CHCL2~|~CCL2,-1.3231515,-0.041740067,0,10.48550/arXiv.2412.12962
ACH~|~AC,CCL3,33.38546,-0.09724713,0,10.48550/arXiv.2412.12962
ACH~|~AC,CCL4,46.321175,-0.010182317,0,10.48550/arXiv.2412.12962
ACH~|~AC,ACCL,167.29173,-0.71527606,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3NO2~|~CH2NO2~|~CHNO2,51.072212,-0.16172086,0,10.48550/arXiv.2412.12962
ACH~|~AC,ACNO2,424.8459,0.37803236,0,10.48550/arXiv.2412.12962
ACH~|~AC,CS2,245.38382,-0.053629145,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3SH~|~CH2SH,99.79439,-0.10246295,0,10.48550/arXiv.2412.12962
ACH~|~AC,FURFURAL,425.04865,0.05479104,0,10.48550/arXiv.2412.12962
ACH~|~AC,DOH,396.56223,0.27650654,0,10.48550/arXiv.2412.12962
ACH~|~AC,I,242.856,-0.5022564,0,10.48550/arXiv.2412.12962
ACH~|~AC,BR,68.32854,-0.13025779,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH=-C~|~C=-C,120.229095,-0.011022423,0,10.48550/arXiv.2412.12962
ACH~|~AC,DMSO,54.151936,-0.12010681,0,10.48550/arXiv.2412.12962
ACH~|~AC,ACRY,261.8558,0.10845338,0,10.48550/arXiv.2412.12962
ACH~|~AC,CL-(C=C),-2.1255698,-0.106408596,0,10.48550/arXiv.2412.12962
ACH~|~AC,ACF,-40.20701,-0.13269062,0,10.48550/arXiv.2412.12962
ACH~|~AC,DMF~|~HCON(..,48.50172,0.34364554,0,10.48550/arXiv.2412.12962
ACH~|~AC,CF3~|~CF2~|~CF,134.16525,-0.36306503,0,10.48550/arXiv.2412.12962
ACH~|~AC,COO,235.36201,-0.5888174,0,10.48550/arXiv.2412.12962
ACH~|~AC,CY-CH2~|~CY-CH~|~CY-C,-10.876957,-0.3244542,0,10.48550/arXiv.2412.12962
ACH~|~AC,THF~|~CY-CH2O~|~TRIOXAN,-4.05063,-0.000012,0,10.48550/arXiv.2412.12962
ACH~|~AC,HCOOH,427.10077,0.13935167,0,10.48550/arXiv.2412.12962
ACH~|~AC,CHCL3,-14.773206,0.160929,0,10.48550/arXiv.2412.12962
ACH~|~AC,NMP~|~NEP~|~NIPP~|~NTBP,16.571089,0.100518666,0,10.48550/arXiv.2412.12962
ACH~|~AC,CONH2~|~CONHCH3~|~CONHCH2,577.79504,0.7120174,0,10.48550/arXiv.2412.12962
ACH~|~AC,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,143.66441,0.42269236,0,10.48550/arXiv.2412.12962
ACH~|~AC,HCONHCH3~|~HCONHCH2,145.36777,0.51937467,0,10.48550/arXiv.2412.12962
ACH~|~AC,AC2H2S~|~AC2HS~|~AC2S,-59.752487,-0.13194466,0,10.48550/arXiv.2412.12962
ACH~|~AC,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,12.334377,-0.17837465,0,10.48550/arXiv.2412.12962
ACH~|~AC,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,68.477325,-0.057778925,0,10.48550/arXiv.2412.12962
ACH~|~AC,(CH2)2SU~|~CH2SUCH,147.97661,0.3750736,0,10.48550/arXiv.2412.12962
ACH~|~AC,CH3S~|~CH2S~|~CHS,64.090645,0.2936957,0,10.48550/arXiv.2412.12962
ACH~|~AC,C3H2N2+~|~C3H3N2+,-51.349277,0.4390183,0,10.48550/arXiv.2412.12962
ACH~|~AC,BTI-,121.88455,0.6128528,0,10.48550/arXiv.2412.12962
ACH~|~AC,C4H8N+,-121.81111,0.56823266,0,10.48550/arXiv.2412.12962
ACH~|~AC,BF4-,272.3866,0.4083134,0,10.48550/arXiv.2412.12962
ACH~|~AC,C5H5N+~|~C5H4N+,-126.28167,0.06266808,0,10.48550/arXiv.2412.12962
ACH~|~AC,OTF-,282.72046,0.77777046,0,10.48550/arXiv.2412.12962
ACH~|~AC,-S-S-,74.67717,-0.6585956,0,10.48550/arXiv.2412.12962
ACH~|~AC,SO4~|~HSO4,-60.09404,-0.23891702,0,10.48550/arXiv.2412.12962
ACH~|~AC,PF6,164.28238,0.6967962,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3~|~CH2~|~CH~|~C,-2.3202326,-0.12583473,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,91.8227,-0.10777075,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,ACH~|~AC,126.9973,0.04559477,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,OH (P)~|~OH (S)~|~OH (T),1387.1511,-1.5457932,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3OH,1057.0122,-0.343307,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,H2O,201.08093,0.07061102,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,ACOH,704.18567,-0.07299797,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3CO~|~CH2CO,284.46664,-0.045572586,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,HCO,693.825,-0.35679245,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3COO~|~CH2COO,283.58472,-0.45543662,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,HCOO,379.93958,-0.77086127,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3O~|~CH2O~|~CHO,93.39082,-0.26488516,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,440.0873,-0.42939657,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3NH~|~CH2NH~|~CHNH,349.8503,-0.50382566,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3N~|~CH2N,195.53183,0.07084279,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,ACNH2,1059.3917,-1.3385761,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,AC2H2N~|~AC2HN~|~AC2N,513.55896,-0.028927438,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3CN~|~CH2CN,505.36914,-0.13208961,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,COOH,501.76855,0.4868748,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH2CL~|~CHCL~|~CCL,90.53696,-0.064437374,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH2CL2~|~CHCL2~|~CCL2,0.887753,-0.007775028,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CCL3,79.97136,0.07921023,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CCL4,68.138115,0.1544726,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,ACCL,293.02594,-0.3913566,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3NO2~|~CH2NO2~|~CHNO2,186.04988,-0.21436101,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,ACNO2,598.7873,0.4237579,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CS2,303.9047,0.33800822,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,CH3SH~|~CH2SH,203.09296,-0.0481846,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,FURFURAL,615.2802,-0.031813484,0,10.48550/arXiv.2412.12962
ACCH3~|~ACCH2~|~ACCH,DOH,377.36697,0.17361838,0,10.48550/arXiv.2412.12962
