Clapeyron Database File
Empiric departure Parameters for multiparameter EoS [csvtype = unlike,sep = ;]
species1;species2;F;source;parameters
methane;carbon dioxide;1.0;10.1021/je300655b;[{"l":[0.0,0.0],"n":[0.28661625028399,-0.10919833861247],"d":[2.0,3.0],"type":"ResidualHelmholtzPower","t":[1.85,1.4]},{"beta":[0.75,1.0,2.0,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[-1.137403208227,0.76580544237358,0.0042638000926819,0.17673538204534],"d":[1.0,1.0,1.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[3.2,2.5,8.0,3.75]}]
methane;ethane;1.0;10.1021/je300655b;[{"l":[0.0,0.0],"n":[-0.00080926050298746,-0.00075381925080059],"d":[3.0,4.0],"type":"ResidualHelmholtzPower","t":[0.65,1.55]},{"beta":[1.0,1.0,1.0,1.25,1.5,2.0,3.0,3.0,3.0,3.0],"gamma":[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5],"n":[-0.041618768891219,-0.23452173681569,0.14003840584586,0.063281744807738,-0.034660425848809,-0.23918747334251,0.0019855255066891,6.1777746171555,-6.9575358271105,1.0630185306388],"d":[1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,1.0,1.0,0.875,0.75,0.5,0.0,0.0,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5],"t":[3.1,5.9,7.05,3.35,1.2,5.8,2.7,0.45,0.55,1.95]}]
methane;propane~|~n-propane;1.0;10.1021/je300655b;[{"l":[0.0,0.0,0.0,0.0,0.0],"n":[0.013746429958576,-0.0074425012129552,-0.0045516600213685,-0.0054546603350237,0.0023682016824471],"d":[3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.85,3.95,0.0,1.85,3.85]},{"beta":[0.75,1.0,2.0,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[0.18007763721438,-0.44773942932486,0.0193273748882,-0.30632197804624],"d":[1.0,1.0,1.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[5.25,3.85,0.2,6.5]}]
methane;butane~|~n-butane;1.0;10.1063/1.5093800,[{"l":[0.0,0.0,0.0],"d":[1.0,2.0,3.0],"n":[0.7588,-0.4386,-0.02273],"type":"ResidualHelmholtzPower","t":[1.02,0.71,1.57]},{"beta":[1.07,1.06,1.11,1.2,1.23],"gamma":[0.0,0.0,0.0,0.0,0.0],"d":[1.0,1.0,1.0,2.0,1.0],"n":[45.05,-2.291,-62.51,33.32,-12.14],"type":"ResidualHelmholtzGERG2008","eta":[1.34,1.45,0.96,1.33,1.9],"epsilon":[0.59,1.9,0.87,1.12,1.43],"t":[3.41,2.12,3.28,3.37,3.4]}];
methane;isobutane~|~2-methylpropane;1.0;10.1063/1.5093800,[{"l":[0.0,0.0,0.0],"d":[1.0,2.0,3.0],"n":[0.9396,-0.1439,-0.1413],"type":"ResidualHelmholtzPower","t":[1.43,0.3,1.2]},{"beta":[1.67,1.76,1.02,1.76,1.06],"gamma":[0.0,0.0,0.0,0.0,0.0],"d":[1.0,1.0,1.0,2.0,1.0],"n":[35.32,-4.216,59.17,-76.68,-41.39],"type":"ResidualHelmholtzGERG2008","eta":[1.87,1.05,1.78,1.19,2.0],"epsilon":[1.73,0.78,1.75,1.84,1.71],"t":[3.1,1.78,3.36,2.7,3.7]}];
methane;pentane~|~n-pentane;1.0;10.1063/1.5093800,[{"l":[0.0,0.0],"d":[2.0,3.0],"n":[0.03711,-0.12154],"type":"ResidualHelmholtzPower","t":[1.54,0.95]},{"beta":[0.916,0.87,0.86,2.8],"gamma":[0.5,0.5,0.5,0.5],"d":[1.0,1.0,1.0,2.0],"n":[27.086,-13.614,-14.45,-0.46867],"type":"ResidualHelmholtzGERG2008","eta":[0.6,0.43,0.7,1.4],"epsilon":[0.7,0.61,0.7,0.46],"t":[0.47,0.9,0.22,2.65]}];
methane;isopentane~|~methylbutane~|~2-methylbutane;1.0;10.1063/1.5093800,[{"l":[0.0,0.0],"d":[2.0,3.0],"n":[0.051,-0.158],"type":"ResidualHelmholtzPower","t":[0.2,0.53]},{"beta":[1.56,1.33,1.46,2.7],"gamma":[0.0,0.0,0.0,0.0],"d":[1.0,1.0,1.0,2.0],"n":[-67.49,-88.27,154.9,3.725],"type":"ResidualHelmholtzGERG2008","eta":[0.64,0.39,0.48,1.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[1.79,2.1,2.0,0.2]}];
methane;hydrogen;1.0;10.1021/je300655b;[{"l":[0.0,0.0,0.0,0.0],"n":[-0.25157134971934,-0.0062203841111983,0.088850315184396,-0.035592212573239],"d":[1.0,3.0,3.0,4.0],"type":"ResidualHelmholtzPower","t":[2.0,-1.0,1.75,1.4]}]
nitrogen;ethane;1.0;10.1021/je300655b;[{"l":[0.0,0.0,0.0],"n":[-0.47376518126608,0.48961193461001,-0.0057011062090535],"d":[2.0,2.0,3.0],"type":"ResidualHelmholtzPower","t":[0.0,0.05,0.0]},{"beta":[1.0,1.0,1.25],"gamma":[0.5,0.5,0.5],"n":[-0.1996682004132,-0.69411103101723,0.69226192739021],"d":[1.0,2.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,1.0,0.875],"epsilon":[0.5,0.5,0.5],"t":[3.65,4.9,4.45]}]
ethane;propane~|~n-propane;0.13042476515;10.1021/je300655b;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
ethane;butane~|~n-butane;0.281570073085;10.1021/je300655b;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
ethane;isobutane~|~2-methylpropane;0.260632376098;10.1021/je300655b;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
propane~|~n-propane;butane~|~n-butane;0.0312572600489;10.1021/je300655b;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
propane~|~n-propane;isobutane~|~2-methylpropane;-0.0551609771024;10.1021/je300655b;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
butane~|~n-butane;isobutane~|~2-methylpropane;-0.0551240293009;10.1021/je300655b;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
ethanol;water;0.3285109;10.1021/ie4033999;[{"type":"ResidualHelmholtzPower","n":[1.09765e+00,1.94679e+00,-2.16809e+00,-1.37077e-01,4.86690e-02,1.04024e+00],"t":[0.26,7.3,5.3,2.3,0.7,3.3],"d":[2,3,5,5,7,6],"l":[1,2,2,1,1,2]}]
r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane;r245fa~|~1,1,1,3,3-pentafluoropropane;0.107754;Akasaka-Purdue-2014;[{"l":[0.0,0.0],"n":[-0.00080926050298746,-0.00075381925080059],"d":[3.0,4.0],"type":"ResidualHelmholtzPower","t":[0.65,1.55]},{"beta":[1.0,1.0,1.0,1.25,1.5,2.0,3.0,3.0,3.0,3.0],"gamma":[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5],"n":[-0.041618768891219,-0.23452173681569,0.14003840584586,0.063281744807738,-0.034660425848809,-0.23918747334251,0.0019855255066891,6.1777746171555,-6.9575358271105,1.0630185306388],"d":[1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,1.0,1.0,0.875,0.75,0.5,0.0,0.0,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5],"t":[3.1,5.9,7.05,3.35,1.2,5.8,2.7,0.45,0.55,1.95]}]
r32~|~difluoromethane;r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene;-0.277708;10.1016/j.fluid.2013.07.057;[{"l":[0.0,0.0],"n":[0.28661625028399,-0.10919833861247],"d":[2.0,3.0],"type":"ResidualHelmholtzPower","t":[1.85,1.4]},{"beta":[0.75,1.0,2.0,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[-1.137403208227,0.76580544237358,0.0042638000926819,0.17673538204534],"d":[1.0,1.0,1.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[3.2,2.5,8.0,3.75]}]
r32~|~difluoromethane;r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene;-0.265419;10.1016/j.fluid.2013.07.057;[{"l":[0.0,0.0,0.0,0.0,0.0],"n":[0.013746429958576,-0.0074425012129552,-0.0045516600213685,-0.0054546603350237,0.0023682016824471],"d":[3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.85,3.95,0.0,1.85,3.85]},{"beta":[0.75,1.0,2.0,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[0.18007763721438,-0.44773942932486,0.0193273748882,-0.30632197804624],"d":[1.0,1.0,1.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[5.25,3.85,0.2,6.5]}]
methane;hydrogen;1.0;10.1063/5.0040533;{"l":[0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0],"beta":[0.0,0.0,0.0,0.0,0.97,0.2,0.26,0.18],"gamma":[0.0,0.0,0.0,0.0,0.77,1.74,0.79,0.4],"n":[1.28,-0.774,-0.914,0.36,-2.45,4.462,-0.972,-2.07],"d":[1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0],"type":"Gaussian+Exponential","eta":[0.0,0.0,0.0,0.0,0.83,0.34,0.57,0.44],"epsilon":[0.0,0.0,0.0,0.0,1.36,1.44,1.69,1.53],"t":[0.34,0.42,0.8,3.29,0.05,0.254,0.41,2.63]}
nitrogen;hydrogen;1.0;10.1063/5.0040533;{"l":[1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0],"beta":[0.0,0.0,0.0,0.0,0.93,0.36,0.99,0.24],"gamma":[0.0,0.0,0.0,0.0,1.3,0.8,1.5,0.23],"n":[-1.659,-0.268,-0.502,0.323,2.976,5.084,-3.866,-5.474],"d":[1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0],"type":"Gaussian+Exponential","eta":[0.0,0.0,0.0,0.0,1.86,0.03,1.85,0.13],"epsilon":[0.0,0.0,0.0,0.0,2.51,0.39,2.51,1.22],"t":[0.724,0.097,2.953,3.5,2.939,0.694,2.329,1.066]}
carbon monoxide;hydrogen;1.0;10.1063/5.0040533;{"l":[0.0,0.0,0.0,0.0],"beta":[0.0,0.0,0.751,0.66],"gamma":[0.0,0.0,1.86,2.23],"n":[-0.521,-0.387,-2.59,4.35],"d":[1.0,2.0,1.0,2.0],"type":"Gaussian+Exponential","eta":[0.0,0.0,0.647,0.344],"epsilon":[0.0,0.0,1.38,0.773],"t":[2.25,0.473,0.585,0.091]}
carbon dioxide;hydrogen;1.0;10.1063/5.0040533;{"l":[0.0,0.0,0.0,0.0,0.0,0.0],"beta":[0.0,0.0,0.465,0.82,0.52,1.0],"gamma":[0.0,0.0,0.17,2.11,1.49,1.73],"n":[3.56,-1.036,-4.835,12.38,-2.65,-3.3],"d":[1.0,2.0,1.0,2.0,3.0,1.0],"type":"Gaussian+Exponential","eta":[0.0,0.0,0.58,0.2,0.292,0.12],"epsilon":[0.0,0.0,0.52,0.15,0.24,0.15],"t":[1.47,1.17,1.95,0.31,1.412,2.28]}
