Clapeyron Database File
LKP Unlike Parameters (note: the original paper has κ values;the values here are k = 1 - κ)
species1,species2,k
cyclohexane,octane~|~n-octane,-0.01
cyclohexane,nonane~|~n-nonane,-0.021
cyclohexane,decane~|~n-decane,-0.032
heptane~|~n-heptane,octane~|~n-octane,0.007
heptane~|~n-heptane,"isooctane~|~2,2,4-trimethylpentane",-0.002
heptane~|~n-heptane,nonane~|~n-nonane,-0.002
heptane~|~n-heptane,decane~|~n-decane,-0.01
octane~|~n-octane,nonane~|~n-nonane,0.007
octane~|~n-octane,decane~|~n-decane,0.001
nonane~|~n-nonane,decane~|~n-decane,0.009
nitrogen,methane,0.023
nitrogen,ethene~|~ethylene~|~1-ethylene,-0.032
nitrogen,ethane,-0.082
nitrogen,propane~|~n-propane,-0.177
nitrogen,propene~|~propylene,-0.151
nitrogen,butane~|~n-butane,-0.276
nitrogen,pentane~|~n-pentane,-0.372
nitrogen,hexane~|~n-hexane,-0.442
nitrogen,oxygen,0.003
nitrogen,carbon monoxide,0.013
nitrogen,argon,0.012
nitrogen,hydrogen sulfide,0.017
nitrogen,carbon dioxide,-0.11
nitrogen,nitrous oxide~|~dinitrogen monoxide,-0.073
nitrogen,ammonia,-0.033
carbon dioxide,methane,0.025
carbon dioxide,ethane,0.062
carbon dioxide,propane~|~n-propane,0.075
carbon dioxide,butane~|~n-butane,0.045
carbon dioxide,isobutane~|~2-methylpropane,0.054
carbon dioxide,pentane~|~n-pentane,-0.002
carbon dioxide,hexane~|~n-hexane,-0.018
carbon dioxide,cyclohexane,-0.054
carbon dioxide,benzene,-0.018
carbon dioxide,heptane~|~n-heptane,-0.058
carbon dioxide,octane~|~n-octane,-0.09
carbon dioxide,nonane~|~n-nonane,-0.126
carbon dioxide,decane~|~n-decane,-0.16
carbon dioxide,hydrogen sulfide,0.078
carbon dioxide,r12~|~dichlorodifluoromethane,0.031
carbon dioxide,methanol,-0.069
hydrogen,methane,-0.216
hydrogen,ethane,-0.604
hydrogen,ethene~|~ethylene~|~1-ethylene,-0.498
hydrogen,propane~|~n-propane,-0.826
hydrogen,butane~|~n-butane,-1.093
hydrogen,pentane~|~n-pentane,-1.335
hydrogen,hexane~|~n-hexane,-1.456
hydrogen,heptane~|~n-heptane,-1.634
hydrogen,nitrogen,-0.08
hydrogen,carbon monoxide,-0.085
hydrogen,carbon dioxide,-0.624
argon,oxygen,0.015
argon,ammonia,-0.01
argon,methane,0.016
oxygen,nitrous oxide~|~dinitrogen monoxide,-0.057
carbon monoxide,methane,0.026
krypton,oxygen,0.011
hydrogen sulfide,isobutane~|~2-methylpropane,0.053
nitrous oxide~|~dinitrogen monoxide,methane,-0.017
water,carbon dioxide,0.08
water,ammonia,-0.152
water,methanol,0.021
