Clapeyron Database File,,,,,,
SaftVRMie Assoc Parameters [csvtype = assoc,grouptype = SAFTgammaMie]
H2O,H,NH2,e1,1460,1.796E-28,
H2O,e1,NH,H,1064.5,4.0082E-28,
H2O,H,NH,e1,3890.4,9.28E-28,
H2O,H,N+,e1,2783.7,1.5536E-29,
H2O,e1,cNH,H,1701,1.6177E-30,
H2O,H,cNH,e1,2838.4,3.7395E-29,
H2O,H,cN,e1,5203.7,3.74E-32,
H2O,H,aCCH3,e1,563.56,3.3961E-28,
H2O,e1,aCOH,H,2500,5.247E-29,
H2O,H,aCOH,e1,1798.2,1.0392E-28,
H2O,H,aCOH,e2,563.56,3.3961E-28,
H2O,H,cCHNH,e1,5903.8,2.075E-33,
H2O,e1,cCHNH,H,5477.7,9.582E-33,
H2O,H,cCHN,e1,4115.4,2.307E-31,
H2O,H,HNO3,e1,2900,3.8401E-29,
H2O,e1,HNO3,H,1606.6,3.8401E-29,
H2O,H,aCCOOH,e1,882.05,9.8434E-28,
H2O,H,aCCOOH,e2,882.05,9.8434E-28,
H2O,H,COO-,e1,802.21,52.555e-30,
H2O,e1,aCCOOH,H,5192.5,1.1186E-32,
CH3OH,H,CH3OH,e1,2062.1,1.0657E-28,
CH3OH,H,aCCOOH,e1,1400.7,4.9532E-28,
CH3OH,e1,aCCOOH,H,871.46,2.5605E-31,
CH3OH,H,aCNHaC,e1,2346,3.1536E-30,
CH3OH,e1,aCNHaC,H,2346,3.1536E-30,
CO2,e1,NH2,e1,4023.9,1.2035E-28,
CO2,e2,NH2,e1,5981.4,1.0036E-30,
CO2,e1,NH,e1,6012.1,1.4157E-31,
CO2,e2,NH,e1,7420.5,4.3534E-31,
CO2,e1,N,e1,4270.8,4.634E-31,
CO2,e2,N,e1,7439.8,6.748E-33,
CO2,e1,cNH,e1,5696.6,4.6758E-30,
CO2,e2,cNH,e1,6017.9,1.1003E-30,
CO2,e1,cN,e1,3388.6,1.031E-27,
CO2,e2,cN,e1,3004.9,6.5921E-28,
CO2,e1,cCHNH,e1,2246,1.4057E-31,
CO2,e2,cCHNH,e1,3870.8,6.4457E-27,
OH,H,OH,e1,2161,5.4398E-29,
OH,H,NH2,e1,1282.7,2.5428E-28,
OH,e1,NH2,H,1354,1.4135E-28,
OH,e1,NH,H,861.12,5.5632E-28,
OH,H,NH,e1,1477.7,4.4981E-28,
OH,H,N,e1,1357.2,5.9919E-28,
CH2OH,H,CH2OH,e1,2097.9,6.2309E-29,
CH2OH,e1,CHOH,H,1464.1,5.9155E-28,
CH2OH,H,CHOH,e1,2500,1.0444E-29,
CH2OH,e1,NH2,H,629.88,3.4608E-28,
CH2OH,H,NH2,e1,2403.8,2.6192E-29,
CH2OH,e1,NH,H,341.13,1.4998E-27,
CH2OH,H,NH,e1,1390.1,9.4793E-28,
CH2OH,H,N,e1,1247.2,2.8683E-28,
CH2OH,H,N+,e1,1247.2,2.8683E-28,
CH2OH,e1,aCOH,H,2182.7,4.026E-28,
CH2OH,H,aCOH,e1,250.03,2.5E-29,
CH2OH,H,aCCOOH,e1,1284.9,2.9788E-27,
CH2OH,H,aCCOOH,e2,3889.3,4.3712E-31,
CH2OH,e1,aCCOOH,H,1284.9,2.9788E-27,
CHOH,H,CHOH,e1,2480.6,8.474E-30,
CHOH,H,aCCOOH,e1,2278.5,7.3698E-29,
CHOH,H,aCCOOH,e2,2278.5,7.3698E-29,
CHOH,e1,aCCOOH,H,2278.5,7.3698E-29,
NH2,e1,NH2,H,1070.8,9.5225E-29,
NH2,H,NH,e1,1639.9,3.79E-29,
NH2,e1,NH,H,1682.1,5.82E-31,
NH,e1,NH,H,1370.3,1.0062E-29,
cNH,H,cNH,e1,1511.6,8.7651E-29,
cNH,H,cN,e1,901.35,1.1555E-30,
aCCH3,e1,aCCOOH,H,3961.5,2.3401E-32,
aCOH,H,aCOH,e1,1538.1,2.7586E-28,
cCHNH,e1,cCHNH,H,1293.5,4.3849E-28,
HNO3,H,HNO3,e1,1300,8.9978E-30,
aCCOOH,H,aCCOOH,H,4745.7,1.004E-29,
aCCOOH,H,aCNHaC,e1,2424.1,9.9046E-28,
aCCOOH,H,CH3CO,e1,2828.1,4.7677E-29,
cO,e1,H2O,H,2193.2,50.010e-30,
cO,e1,CH2OH,H,1472.5,433.15e-30,
