Clapeyron Database File,,,,
SAFTgammaMie Unlike Parameters [csvtype = unlike,grouptype = SAFTgammaMie]
CHOH,aCNHaC,451.48,8.181,
NH2,NH,381.98,,
NH2,cCHNH,101.61,,
cNH,cN,812.26,,
aCCH3,aCCOOH,455.68,,
aCCH3,aCNHaC,941.03,,
aCCH3,CH3CO,552.62,36.429,
cCH,aCCOOH,246.61,,
aCCOOH,aCNHaC,102.98,,
aCCOOH,CH3CO,568.75,85,
aCNHaC,CH3CO,710.53,8,
cO,CH2OH,606.80,,
cO,H2O,350.09,14.872,
cO,CH2OE,325.94,10.054,
CH2OH,CH2OE,404.74,,
CH2OE,H2O,283.38,11.885
Na+,COO-,9.911,,
H2O,Na+,539.68,,
H2O,COO-,171.61,,
CH3,COO-,509.37,,
H2O,Cl-,95.406,,
Na+,Cl-,27.937,,
H2O,Br-,112.01,,
H2O,H3O+,391.04,,
H2O,HSO4-,142.57,,
H2O,SO42-,128.03,,
H3O+,HSO4-,60.467,,
H3O+,SO42-,53.609,,
HSO4-,SO42-,75.239,,
