Clapeyron Database File,,,
original UNIFAC 2.0 Unlike Parameters [csvtype = unlike,grouptype = originalUNIFAC],,
CH3~|~CH2~|~CH~|~C,SIH2O~|~SIHO~|~SIO,45.649513,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,NMP,214.13863,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,-30.625507,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,893.4992,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,C2H5O2~|~C2H4O2,350.27878,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH3S~|~CH2S~|~CHS,192.82529,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,MORPH,71.53853,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,C4H4S~|~C4H3S~|~C4H2S,94.7504,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,NCO,479.59225,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,CH2SuCH2~|~CH2SuCH,774.45215,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,IMIDAZOL,348.91284,10.1016/j.cej.2024.158667
CH3~|~CH2~|~CH~|~C,BTI,653.5913,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3~|~CH2~|~CH~|~C,16.999664,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACH~|~AC,26.616098,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACCH3~|~ACCH2~|~ACCH,16.671951,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,OH,673.85547,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3OH,671.9233,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,H2O,985.2149,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACOH,1157.2203,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3CO~|~CH2CO,233.00017,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,HCO,384.7052,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3COO~|~CH2COO,148.10352,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,HCOO,296.77216,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3O~|~CH2O~|~CHO~|~THF,55.790718,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3NH2~|~CH2NH2~|~CHNH2,254.31525,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3NH~|~CH2NH~|~CHNH,69.56104,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3N~|~CH2N,202.73505,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACNH2,694.43677,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,C5H5N~|~C5H4N~|~C5H3N,205.01111,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3CN~|~CH2CN,432.4497,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,COOH~|~HCOOH,449.4651,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH2CL~|~CHCL~|~CCL,146.08302,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH2CL2~|~CHCL2~|~CCL2,102.992744,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CHCL3~|~CCL3,65.774765,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CCL4,21.446398,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACCL,103.18924,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3NO2~|~CH2NO2~|~CHNO2,385.0575,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACNO2,393.77133,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CS2,136.63293,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3SH~|~CH2SH,150.1961,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,FURFURAL,168.63525,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,DOH,670.9033,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,I,296.4562,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,BR,326.20306,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH=-C~|~C=-C,110.721085,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,DMSO,147.57951,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACRY,192.16168,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CL-(C=C),69.18558,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,ACF,84.89386,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,DMF~|~HCON(..,167.66815,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CF3~|~CF2~|~CF,120.76198,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,COO,418.6649,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,SIH3~|~SIH2~|~SIH~|~SI,-263.3332,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,SIH2O~|~SIHO~|~SIO,51.887077,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,NMP,107.25605,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,23.249723,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,546.2613,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,C2H5O2~|~C2H4O2,239.10316,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH3S~|~CH2S~|~CHS,57.831837,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,MORPH,19.258068,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,C4H4S~|~C4H3S~|~C4H2S,80.54869,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,NCO,320.9533,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,CH2SuCH2~|~CH2SuCH,487.33157,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,IMIDAZOL,217.85953,10.1016/j.cej.2024.158667
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,BTI,457.674,10.1016/j.cej.2024.158667
ACH~|~AC,CH3~|~CH2~|~CH~|~C,37.195618,10.1016/j.cej.2024.158667
ACH~|~AC,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,14.64987,10.1016/j.cej.2024.158667
ACH~|~AC,ACCH3~|~ACCH2~|~ACCH,25.610838,10.1016/j.cej.2024.158667
ACH~|~AC,OH,521.8167,10.1016/j.cej.2024.158667
ACH~|~AC,CH3OH,533.26,10.1016/j.cej.2024.158667
ACH~|~AC,H2O,741.4035,10.1016/j.cej.2024.158667
ACH~|~AC,ACOH,846.5437,10.1016/j.cej.2024.158667
ACH~|~AC,CH3CO~|~CH2CO,187.32202,10.1016/j.cej.2024.158667
ACH~|~AC,HCO,234.38608,10.1016/j.cej.2024.158667
ACH~|~AC,CH3COO~|~CH2COO,105.21554,10.1016/j.cej.2024.158667
ACH~|~AC,HCOO,204.45387,10.1016/j.cej.2024.158667
ACH~|~AC,CH3O~|~CH2O~|~CHO~|~THF,32.989265,10.1016/j.cej.2024.158667
ACH~|~AC,CH3NH2~|~CH2NH2~|~CHNH2,125.84237,10.1016/j.cej.2024.158667
ACH~|~AC,CH3NH~|~CH2NH~|~CHNH,53.486656,10.1016/j.cej.2024.158667
ACH~|~AC,CH3N~|~CH2N,133.15034,10.1016/j.cej.2024.158667
ACH~|~AC,ACNH2,574.92786,10.1016/j.cej.2024.158667
ACH~|~AC,C5H5N~|~C5H4N~|~C5H3N,144.27184,10.1016/j.cej.2024.158667
ACH~|~AC,CH3CN~|~CH2CN,269.10315,10.1016/j.cej.2024.158667
ACH~|~AC,COOH~|~HCOOH,329.73322,10.1016/j.cej.2024.158667
ACH~|~AC,CH2CL~|~CHCL~|~CCL,56.073757,10.1016/j.cej.2024.158667
ACH~|~AC,CH2CL2~|~CHCL2~|~CCL2,23.772306,10.1016/j.cej.2024.158667
ACH~|~AC,CHCL3~|~CCL3,-12.417097,10.1016/j.cej.2024.158667
ACH~|~AC,CCL4,12.983223,10.1016/j.cej.2024.158667
ACH~|~AC,ACCL,85.339905,10.1016/j.cej.2024.158667
ACH~|~AC,CH3NO2~|~CH2NO2~|~CHNO2,219.85597,10.1016/j.cej.2024.158667
ACH~|~AC,ACNO2,247.91685,10.1016/j.cej.2024.158667
ACH~|~AC,CS2,141.89366,10.1016/j.cej.2024.158667
ACH~|~AC,CH3SH~|~CH2SH,38.177315,10.1016/j.cej.2024.158667
ACH~|~AC,FURFURAL,101.52167,10.1016/j.cej.2024.158667
ACH~|~AC,DOH,460.92242,10.1016/j.cej.2024.158667
ACH~|~AC,I,204.80392,10.1016/j.cej.2024.158667
ACH~|~AC,BR,184.275,10.1016/j.cej.2024.158667
ACH~|~AC,CH=-C~|~C=-C,59.62265,10.1016/j.cej.2024.158667
ACH~|~AC,DMSO,105.25821,10.1016/j.cej.2024.158667
ACH~|~AC,ACRY,115.97523,10.1016/j.cej.2024.158667
ACH~|~AC,CL-(C=C),-24.65517,10.1016/j.cej.2024.158667
ACH~|~AC,ACF,71.81769,10.1016/j.cej.2024.158667
ACH~|~AC,DMF~|~HCON(..,80.583885,10.1016/j.cej.2024.158667
ACH~|~AC,CF3~|~CF2~|~CF,55.547413,10.1016/j.cej.2024.158667
ACH~|~AC,COO,354.25238,10.1016/j.cej.2024.158667
ACH~|~AC,SIH3~|~SIH2~|~SIH~|~SI,-165.52606,10.1016/j.cej.2024.158667
ACH~|~AC,SIH2O~|~SIHO~|~SIO,31.659527,10.1016/j.cej.2024.158667
ACH~|~AC,NMP,74.0927,10.1016/j.cej.2024.158667
ACH~|~AC,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,27.116032,10.1016/j.cej.2024.158667
ACH~|~AC,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,384.14545,10.1016/j.cej.2024.158667
ACH~|~AC,C2H5O2~|~C2H4O2,182.27472,10.1016/j.cej.2024.158667
ACH~|~AC,CH3S~|~CH2S~|~CHS,48.15706,10.1016/j.cej.2024.158667
ACH~|~AC,MORPH,9.123532,10.1016/j.cej.2024.158667
ACH~|~AC,C4H4S~|~C4H3S~|~C4H2S,38.884125,10.1016/j.cej.2024.158667
ACH~|~AC,NCO,203.0539,10.1016/j.cej.2024.158667
ACH~|~AC,CH2SuCH2~|~CH2SuCH,351.37897,10.1016/j.cej.2024.158667
ACH~|~AC,IMIDAZOL,132.17322,10.1016/j.cej.2024.158667
ACH~|~AC,BTI,245.4757,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3~|~CH2~|~CH~|~C,3.5848582,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,7.1442165,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,ACH~|~AC,-8.175919,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,OH,544.8955,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3OH,534.00494,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,H2O,782.1063,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,ACOH,827.0255,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3CO~|~CH2CO,247.58594,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,HCO,277.45724,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3COO~|~CH2COO,151.38805,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,HCOO,277.82907,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3O~|~CH2O~|~CHO~|~THF,114.499435,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3NH2~|~CH2NH2~|~CHNH2,191.6789,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3NH~|~CH2NH~|~CHNH,92.64935,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3N~|~CH2N,167.50175,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,ACNH2,613.3527,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,C5H5N~|~C5H4N~|~C5H3N,173.26413,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3CN~|~CH2CN,325.77054,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,COOH~|~HCOOH,338.39355,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH2CL~|~CHCL~|~CCL,79.76254,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH2CL2~|~CHCL2~|~CCL2,35.271935,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CHCL3~|~CCL3,-20.529482,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CCL4,-10.0783615,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,ACCL,20.809155,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3NO2~|~CH2NO2~|~CHNO2,272.06406,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,ACNO2,296.15295,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CS2,53.157455,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3SH~|~CH2SH,59.91829,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,FURFURAL,150.90028,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,DOH,511.6715,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,I,186.0688,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,BR,195.67026,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH=-C~|~C=-C,106.14842,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,DMSO,151.76343,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,ACRY,133.98125,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CL-(C=C),-39.76425,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,ACF,40.18013,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,DMF~|~HCON(..,177.04742,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CF3~|~CF2~|~CF,41.156006,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,COO,358.79544,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,SIH3~|~SIH2~|~SIH~|~SI,-214.47859,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,SIH2O~|~SIHO~|~SIO,27.48953,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,NMP,116.31931,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,16.800116,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,481.67374,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,C2H5O2~|~C2H4O2,218.21364,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH3S~|~CH2S~|~CHS,93.35969,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,MORPH,27.843313,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,C4H4S~|~C4H3S~|~C4H2S,40.52339,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,NCO,249.21104,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,CH2SuCH2~|~CH2SuCH,423.1167,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,IMIDAZOL,178.30447,10.1016/j.cej.2024.158667
ACCH3~|~ACCH2~|~ACCH,BTI,346.01413,10.1016/j.cej.2024.158667
OH,CH3~|~CH2~|~CH~|~C,279.8916,10.1016/j.cej.2024.158667
OH,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,323.67673,10.1016/j.cej.2024.158667
OH,ACH~|~AC,230.48851,10.1016/j.cej.2024.158667
OH,ACCH3~|~ACCH2~|~ACCH,233.70755,10.1016/j.cej.2024.158667
OH,CH3OH,24.937069,10.1016/j.cej.2024.158667
OH,H2O,-27.227726,10.1016/j.cej.2024.158667
OH,ACOH,-158.87225,10.1016/j.cej.2024.158667
OH,CH3CO~|~CH2CO,10.968675,10.1016/j.cej.2024.158667
OH,HCO,-62.017765,10.1016/j.cej.2024.158667
OH,CH3COO~|~CH2COO,60.692184,10.1016/j.cej.2024.158667
OH,HCOO,87.724396,10.1016/j.cej.2024.158667
OH,CH3O~|~CH2O~|~CHO~|~THF,19.204727,10.1016/j.cej.2024.158667
OH,CH3NH2~|~CH2NH2~|~CHNH2,-70.10973,10.1016/j.cej.2024.158667
OH,CH3NH~|~CH2NH~|~CHNH,-30.414392,10.1016/j.cej.2024.158667
OH,CH3N~|~CH2N,-44.785095,10.1016/j.cej.2024.158667
OH,ACNH2,-226.12122,10.1016/j.cej.2024.158667
OH,C5H5N~|~C5H4N~|~C5H3N,-18.983719,10.1016/j.cej.2024.158667
OH,CH3CN~|~CH2CN,114.35861,10.1016/j.cej.2024.158667
OH,COOH~|~HCOOH,-13.354626,10.1016/j.cej.2024.158667
OH,CH2CL~|~CHCL~|~CCL,232.15088,10.1016/j.cej.2024.158667
OH,CH2CL2~|~CHCL2~|~CCL2,211.65433,10.1016/j.cej.2024.158667
OH,CHCL3~|~CCL3,235.74985,10.1016/j.cej.2024.158667
OH,CCL4,284.0692,10.1016/j.cej.2024.158667
OH,ACCL,380.6642,10.1016/j.cej.2024.158667
OH,CH3NO2~|~CH2NO2~|~CHNO2,118.14526,10.1016/j.cej.2024.158667
OH,ACNO2,184.86343,10.1016/j.cej.2024.158667
OH,CS2,532.5339,10.1016/j.cej.2024.158667
OH,CH3SH~|~CH2SH,223.82814,10.1016/j.cej.2024.158667
OH,FURFURAL,70.96189,10.1016/j.cej.2024.158667
OH,DOH,-81.54484,10.1016/j.cej.2024.158667
OH,I,458.77383,10.1016/j.cej.2024.158667
OH,BR,334.72186,10.1016/j.cej.2024.158667
OH,CH=-C~|~C=-C,214.32213,10.1016/j.cej.2024.158667
OH,DMSO,-97.87736,10.1016/j.cej.2024.158667
OH,ACRY,160.97725,10.1016/j.cej.2024.158667
OH,CL-(C=C),306.5252,10.1016/j.cej.2024.158667
OH,ACF,78.07652,10.1016/j.cej.2024.158667
OH,DMF~|~HCON(..,1.0733335,10.1016/j.cej.2024.158667
OH,CF3~|~CF2~|~CF,138.7097,10.1016/j.cej.2024.158667
OH,COO,-10.876505,10.1016/j.cej.2024.158667
OH,SIH3~|~SIH2~|~SIH~|~SI,38.06888,10.1016/j.cej.2024.158667
OH,SIH2O~|~SIHO~|~SIO,-58.251568,10.1016/j.cej.2024.158667
OH,NMP,-5.9802446,10.1016/j.cej.2024.158667
OH,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,150.41403,10.1016/j.cej.2024.158667
OH,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,2.5967429,10.1016/j.cej.2024.158667
OH,C2H5O2~|~C2H4O2,-162.02905,10.1016/j.cej.2024.158667
OH,CH3S~|~CH2S~|~CHS,10.6799135,10.1016/j.cej.2024.158667
OH,MORPH,10.692207,10.1016/j.cej.2024.158667
OH,C4H4S~|~C4H3S~|~C4H2S,161.43463,10.1016/j.cej.2024.158667
OH,NCO,17.107536,10.1016/j.cej.2024.158667
OH,CH2SuCH2~|~CH2SuCH,-29.802752,10.1016/j.cej.2024.158667
OH,IMIDAZOL,-91.39222,10.1016/j.cej.2024.158667
OH,BTI,-53.624832,10.1016/j.cej.2024.158667
