Clapeyron Database File
PCPSAFT Like Parameters; Esper et al. (2023) [csvtype = like]
species,Mw,segment,sigma,epsilon,dipole,n_a,n_b,source,type,bounds_violation
chlorobenzene~|~monochlorobenzene,112.008,2.65893,3.74859,312.77973,1.69,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"p-dichlorobenzene~|~1,4-dichlorobenzene",145.969,2.97762,3.77419,324.26409,0.0,0,0,,NONPOLAR,OK
benzonitrile,103.042,3.25647,3.55325,298.91653,4.18,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
nitrobenzene,123.032,3.28514,3.54981,313.00086,4.22,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
benzene,78.047,2.51627,3.61064,284.11055,0.0,0,0,,NONPOLAR,OK
hydrogen cyanide,27.011,2.72334,2.64506,170.34538,2.98,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"acetoin~|~2,3-butanolone~|~3-hydroxy-2-butanone",88.052,1.86561,4.12089,389.8993,0.0,2,1,,ASSOCIATIVE,kappa_ab: lower
beta-pinene~|~.beta.-pinene,136.125,3.18936,4.07828,296.99679,0.0,0,0,,NONPOLAR,OK
1-bromobutane~|~butyl bromide,135.989,2.87587,3.67482,271.7951,2.08,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
bromine,157.837,1.87111,3.31443,334.68958,0.0,0,0,,NONPOLAR,OK
2-butoxyethanol~|~2-butoxyethan-1-ol,118.099,4.89214,3.3106,245.3596,0.0,2,1,,ASSOCIATIVE,kappa_ab: lower
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,74.073,3.66387,3.24366,232.69184,0.0,1,1,,ASSOCIATIVE,OK
butanone~|~2-butanone~|~methyl ethyl ketone,72.058,2.98582,3.39936,235.58738,3.3,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
butane~|~n-butane,58.078,2.31121,3.71557,224.06583,0.0,0,0,,NONPOLAR,OK
"cis-1,2-dichloroethene~|~(z)-1,2-dichloroethene~|~cis-1,2-dichloroethylene",95.953,2.21223,3.55968,285.87367,1.9,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-chloroethanol~|~1-chloro-2-hydroxyethane,80.003,3.90886,2.84616,261.42844,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
isobutyl chloride~|~1-chloro-2-methylpropane~|~1-chloro-2-methyl-propane,92.039,2.5634,3.74811,263.48813,2.0,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-butoxime~|~2-butanone oxime~|~methyl ethyl ketoxime,87.068,2.8418,3.54793,216.28112,0.0,2,1,,ASSOCIATIVE,OK
1-chlorobutane~|~butyl chloride~|~n-butyl chloride,92.039,2.82622,3.64432,256.90287,2.05,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
chcl3~|~chloroform~|~trichloromethane,117.914,2.50983,3.43821,270.98618,1.01,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene,108.058,4.22842,3.27308,288.00987,0.0,1,1,,ASSOCIATIVE,OK
cyclohexane,84.094,2.50027,3.85128,280.36899,0.0,0,0,,NONPOLAR,OK
cyclopentane,70.078,2.25774,3.75308,273.50029,0.0,0,0,,NONPOLAR,OK
cyclohexene,82.078,2.25901,3.90709,301.81613,0.0,0,0,,NONPOLAR,OK
methylcyclohexane,98.11,2.66045,3.9956,282.31227,0.0,0,0,,NONPOLAR,OK
2-methylcyclohexanone,112.089,3.18533,3.75132,303.61665,0.0,1,0,,NONPOLAR,OK
methylcyclopentane,84.094,2.64252,3.80097,263.53959,0.0,0,0,,NONPOLAR,OK
di(2-chloroethyl)ether~|~bis(2-chloroethyl)ether,141.995,3.69008,3.5432,288.15618,2.58,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
dibutyl ether~|~di-n-butylether,130.136,4.21629,3.76732,239.48731,1.2,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
isoamyl formate~|~3-methylbutyl methanoate,116.084,3.86567,3.56068,244.81321,0.0,2,0,,NONPOLAR,OK
decane~|~n-decane,142.172,4.6267,3.84109,244.92287,0.0,0,0,,NONPOLAR,OK
"diethylamine~|~n,n-diethylamine",73.089,2.98824,3.5416,232.35374,0.0,1,1,,ASSOCIATIVE,OK
"diacetyl~|~butadione~|~2,3-butanedione",86.037,3.66054,3.13998,236.45052,1.25013,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"n,n-dimethylaniline~|~n n-dimethylaniline",121.089,3.7614,3.60691,295.95329,1.6,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,2-dibromopropane",199.884,2.7684,3.72247,313.7478,1.39,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
acetaldehyde dibutyl acetal,174.162,5.26343,3.76342,236.9153,0.0,2,0,,NONPOLAR,OK
"r150a~|~1,1-dichloroethane",97.969,2.59888,3.45838,254.84244,2.06,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"dichloroethane~|~1,2-dichloroethane",97.969,2.60845,3.42068,280.76296,1.8,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"trans-1,2-dichloroethene~|~trans-1,2-dichloroethylene",95.953,2.30034,3.50157,274.52945,0.0,0,0,,NONPOLAR,OK
ch2cl2~|~dichloromethane,83.953,2.47659,3.20164,255.82129,1.6,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,2-dichloropropane",111.985,2.52453,3.73052,291.64502,1.9,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"dmf~|~dimethylformamide~|~n,n-dimethylformamide",73.053,2.92214,3.33745,285.39167,3.86,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methylal~|~dimethoxymethane,76.052,3.10436,3.29131,223.54729,1.0,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"2,4-dimethylpentane",100.125,3.11223,3.93843,240.15511,0.0,0,0,,NONPOLAR,OK
"dioxane~|~p-dioxane~|~1,4-dioxane",88.052,2.98846,3.36587,275.40864,0.0,2,0,,NONPOLAR,OK
"2,6-dimethylpyridine",107.073,3.43167,3.58615,277.28095,1.68,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
dodecane~|~n-dodecane,170.203,5.49496,3.83291,244.83939,0.0,0,0,,NONPOLAR,OK
benzaldehyde,106.042,3.41549,3.46319,301.21161,2.8,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,116.084,4.05326,3.50442,239.65009,1.8,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
cyclohexyl acetate~|~cyclohexyl ethanoate~|~aceticacidcyclohexylester,142.099,4.24531,3.60968,262.58064,1.92,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methylacetate~|~methyl ethanoate,74.037,3.25306,3.14634,228.69349,1.7,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
acetic acid,60.021,3.17506,2.92376,287.87919,0.0,1,1,,ASSOCIATIVE,"kappa_ab: lower, epsilon_k_ab: lower"
furfural~|~2-furaldehyde,96.021,3.53014,3.19693,278.39147,3.36,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
dipropylamine~|~1-propanamine~|~di-n-propylamine,101.12,3.9759,3.48282,157.89563,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
hydrogen bromide,79.926,1.39367,3.25377,242.22684,0.82,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-hexadecene,224.25,6.46842,3.953,257.16335,0.0,0,0,,NONPOLAR,OK
hexane~|~n-hexane,86.11,3.06506,3.79083,236.46956,0.0,0,0,,NONPOLAR,OK
hydrogen fluoride,20.006,1.23675,2.90791,322.58425,1.82,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
heptane~|~n-heptane,100.125,3.49412,3.79257,238.11279,0.0,0,0,,NONPOLAR,OK
2-heptanone,114.104,3.98679,3.62233,254.80798,2.59,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
hydrazine,32.037,3.4085,2.31839,155.08363,0.0,2,2,,ASSOCIATIVE,OK
isopentane~|~methylbutane~|~2-methylbutane,72.094,2.5173,3.84468,233.33054,0.0,0,0,,NONPOLAR,OK
2-propanol~|~propan-2-ol~|~isopropanol,60.058,3.95902,2.93004,198.97045,0.0,1,1,,ASSOCIATIVE,OK
diisopropyl ether~|~di-isopropyl ether,102.104,3.54969,3.6858,216.5288,1.2,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"isooctane~|~2,2,4-trimethylpentane",114.141,3.13984,4.08786,249.78239,0.0,0,0,,NONPOLAR,OK
"isoprene~|~2-methyl-1,3-butadiene",68.063,2.46382,3.70372,245.06739,0.0,0,0,,NONPOLAR,OK
ch3i~|~iodomethane~|~methyl iodide,141.928,1.8307,3.55359,307.85266,1.62,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
hexene~|~1-hexene~|~hex-1-ene,84.094,3.00344,3.74536,236.43528,0.0,0,0,,NONPOLAR,OK
diisopropylamine~|~di-isopropyl amine,101.12,3.24426,3.8504,227.62511,0.0,1,1,,ASSOCIATIVE,OK
hexylamine~|~n-hexylamine~|~1-hexanamine,101.12,3.6788,3.58319,170.4449,0.0,1,1,,ASSOCIATIVE,OK
"diethylmethylamine~|~methyl diethyl amine~|~n,n-diethylmethylamine",87.105,2.97431,3.74285,239.8109,0.0,1,0,,NONPOLAR,OK
1-methylnaphthalene,142.078,3.32063,3.92788,350.47285,0.0,0,0,,NONPOLAR,OK
2-methylnaphthalene,142.078,3.20464,3.99261,355.29216,0.0,0,0,,NONPOLAR,OK
methanol,32.026,2.25965,2.83016,183.58634,0.0,1,1,,ASSOCIATIVE,OK
isohexane~|~2-methylpentane,86.11,2.94944,3.84419,234.82948,0.0,0,0,,NONPOLAR,OK
3-methylpentane,86.11,2.89666,3.85139,239.88093,0.0,0,0,,NONPOLAR,OK
2-methoxyethanol~|~2-methoxyethan-1-ol,76.052,3.44528,3.15264,230.74612,0.0,2,1,,ASSOCIATIVE,OK
"morpholine~|~tetrahydro-1,4-oxazine",87.068,3.27936,3.30723,280.61115,0.0,2,1,,ASSOCIATIVE,kappa_ab: lower
diacetone alcohol~|~4-oh-4-me-2-pentanone~|~4-hydroxy-4-methylpentan-2-one,116.084,3.35724,3.67453,208.73059,0.0,2,1,,ASSOCIATIVE,OK
butylbenzene~|~n-butylbenzene,134.11,3.6872,3.88563,286.52262,0.0,0,0,,NONPOLAR,OK
4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,100.089,3.51266,3.6135,248.15792,2.8,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
3-picoline~|~3-methylpyridine,93.058,2.94495,3.57681,302.44626,2.4,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
4-methylpyridine,93.058,2.87335,3.61236,305.86255,2.6,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
isobutanol~|~2-methyl-1-propanol,74.073,3.26364,3.38398,238.57137,0.0,1,1,,ASSOCIATIVE,OK
alpha-methylstyrene~|~(1-methylethenyl)benzene,118.078,3.6247,3.66263,281.62778,0.0,0,0,,NONPOLAR,OK
naphthalene,128.063,2.99317,3.91168,354.54358,0.0,0,0,,NONPOLAR,OK
l-nicotine~|~(-)-3-(n-methylpyrrolidino)pyridine,162.116,4.23399,3.77392,304.96567,0.0,2,0,,NONPOLAR,OK
nitromethane,61.016,2.60897,3.05296,251.16461,3.46,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-nitropropane,89.048,3.02853,3.43362,269.74726,3.66,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-nonanol~|~nonan-1-ol,144.151,4.05376,3.93978,277.88672,0.0,1,1,,ASSOCIATIVE,OK
octane~|~n-octane,114.141,3.86069,3.81486,241.43398,0.0,0,0,,NONPOLAR,OK
octene~|~1-octene~|~oct-1-ene,112.125,3.78331,3.79804,241.90583,0.0,0,0,,NONPOLAR,OK
o-cresol~|~2-methylphenol,108.058,3.77576,3.38936,294.84218,0.0,1,1,,ASSOCIATIVE,OK
1-octadecene,252.282,8.74357,3.69538,235.99113,0.0,0,0,,NONPOLAR,OK
p-cresol~|~4-methylphenol,108.058,4.16868,3.28945,289.41029,0.0,1,1,,ASSOCIATIVE,OK
ethyl phenylacetate~|~phenylacetic acid ethyl ester,164.084,4.95838,3.54619,272.29543,0.0,2,0,,NONPOLAR,OK
pentane~|~n-pentane,72.094,2.74869,3.72936,228.73279,0.0,0,0,,NONPOLAR,OK
1-pentanol~|~pentan-1-ol,88.089,3.59032,3.46552,245.26634,0.0,1,1,,ASSOCIATIVE,OK
2-pentanone~|~pentan-2-one~|~methyln-propylketone,86.073,3.28852,3.50152,251.26088,2.5,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
phenol,94.042,3.55333,3.27469,303.75586,0.0,1,1,,ASSOCIATIVE,OK
phosgene,97.933,2.34255,3.33572,235.74718,1.17,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
propanol~|~1-propanol~|~propan-1-ol,60.058,3.64801,3.01354,213.86818,0.0,1,1,,ASSOCIATIVE,OK
propionic acid~|~propanoic acid~|~n-propanoic acid,74.037,4.77223,2.7633,241.54716,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
1-propanethiol~|~propyl mercaptan~|~n-propyl mercaptan,76.035,2.29461,3.74583,282.53913,0.0,1,1,,ASSOCIATIVE,OK
"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",58.042,2.52752,3.2733,241.47794,2.01,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
pyridine,79.042,2.64908,3.46646,301.81333,2.19,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
nitric acid,62.996,2.1758,2.98625,334.02803,0.0,2,1,,ASSOCIATIVE,kappa_ab: lower
hcl~|~hydrogen chloride~|~hydrochloric acid,35.977,1.59258,2.93292,198.75943,1.08,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methyl 2-hydroxybenzoate~|~salicylic acid methyl ester~|~2-hydroxy-benzoicacidmethylester,152.047,2.91537,4.03097,349.79274,0.0,3,1,,ASSOCIATIVE,OK
cs2~|~carbon disulfide,75.944,1.54291,3.75115,354.44842,0.0,2,0,,NONPOLAR,OK
styrene,104.063,3.08735,3.71027,295.82828,0.0,0,0,,NONPOLAR,OK
dmso~|~dimethyl sulfoxide,78.014,3.06947,3.22537,306.96339,3.96,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
tetraethylsilane,144.133,3.76129,4.07332,259.00747,0.0,0,0,,NONPOLAR,OK
tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,74.073,4.12251,3.09942,203.64766,0.0,1,1,,ASSOCIATIVE,OK
tetradecane~|~n-tetradecane,198.235,6.01753,3.82609,252.65629,0.0,0,0,,NONPOLAR,OK
trans-decalin~|~trans-decahydronaphthalene,138.141,3.04287,4.18444,319.77343,0.0,0,0,,NONPOLAR,OK
"tetralin~|~1,2,3,4-tetrahydronaphthalene",132.094,3.2666,3.89672,327.28548,0.0,0,0,,NONPOLAR,OK
ccl4~|~tetrachloromethane~|~carbon tetrachloride,151.875,2.32199,3.79797,292.54982,0.0,0,0,,NONPOLAR,OK
tetrahydrofurfurylalcohol~|~2-tetrahydrofurylmethanol,102.068,1.83264,4.30863,425.29843,0.0,2,1,,ASSOCIATIVE,OK
thf~|~tetrahydrofuran,72.058,2.49122,3.49913,273.14964,1.63,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
toluene,92.063,2.78719,3.72273,287.51747,0.0,0,0,,NONPOLAR,OK
triethylamine,101.12,3.29493,3.7908,240.45519,0.0,1,0,,NONPOLAR,OK
"1,1,2-trichloroethane",131.93,2.94212,3.48388,283.73694,1.7,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
tetrachloroethene~|~tetrachloroethylene,163.875,2.69164,3.71137,303.51594,0.0,0,0,,NONPOLAR,OK
"r140a~|~1,1,1-trichloroethane",131.93,2.42961,3.77237,278.80359,1.78,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
trichloroethene~|~trichloroethylene,129.914,2.55181,3.59585,287.2974,0.9,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"benzotrifluoride~|~trifluoromethylbenzene~|~(trifluoromethyl)benzene~|~1',1',1'-trifluorotoluene",146.034,3.52315,3.62229,237.17303,2.86,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"2,2,5-trimethylhexane",128.157,3.79634,3.9655,239.72328,0.0,0,0,,NONPOLAR,OK
"2,2,3-trimethylbutane~|~2,2,3-trimethyl-butane",100.125,2.72014,4.10186,259.51231,0.0,0,0,,NONPOLAR,OK
trichlorosilane,133.891,2.30746,3.78481,252.51531,0.86,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
vinyl acetate,86.037,3.4349,3.25832,231.07879,1.7,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
water,18.011,2.36948,2.15072,230.71557,0.0,1,1,,ASSOCIATIVE,OK
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",106.078,3.15438,3.76074,285.82869,0.0,0,0,,NONPOLAR,OK
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",106.078,3.12139,3.78548,286.60798,0.0,0,0,,NONPOLAR,OK
nitroethane,75.032,2.80936,3.27449,259.86924,3.65,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methylamine~|~methanamine,31.042,2.48304,2.85375,212.82483,0.0,1,1,,ASSOCIATIVE,OK
dimethylamine,45.058,2.29695,3.34472,225.25687,0.0,1,1,,ASSOCIATIVE,OK
2-propanethiol~|~2-propyl mercaptan~|~isopropyl mercaptan,76.035,2.32159,3.74129,268.34785,0.0,1,1,,ASSOCIATIVE,OK
"n,n-diethylaniline~|~n,n-diethyl-benzeneamine",149.12,4.70064,3.58316,272.82253,1.81,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
cyclopentanol,86.073,1.92092,4.10628,346.84328,0.0,1,1,,ASSOCIATIVE,OK
fluorobenzene,96.038,2.65595,3.60968,276.30649,1.6,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
tetrachlorosilane,167.852,2.58094,3.8323,254.38238,0.0,0,0,,NONPOLAR,OK
titanium tetrachloride,187.823,2.29333,4.04045,344.74829,0.0,0,0,,NONPOLAR,OK
trichlorophosphine~|~phosphorus trichloride~|~phosphorous trichloride,135.88,1.76296,4.04568,346.56735,0.78,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
phosphoryl chloride~|~phosphorus oxychloride~|~phosphoryl trichloride,151.875,2.69215,3.58193,287.00284,2.42,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
antimony trichloride,225.81,2.65735,3.54994,368.35714,3.93,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,1-dimethoxyethane",90.068,3.27833,3.44454,228.67569,1.32,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
trichloromethylsilane~|~methyl trichlorosilane,147.907,2.64655,3.84957,254.56518,1.91,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
dichloromethylsilane~|~methyl dichlorosilane,113.946,2.67676,3.63458,235.40474,1.91,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
trimethylchlorosilane~|~chlorotrimethylsilane,108.016,2.82445,3.83436,237.09078,2.08,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methylbutyl ether~|~butyl methyl ether~|~methyl-n-butylether~|~methyl n-butyl ether,88.089,3.08778,3.66242,238.39141,1.25,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
thionyl chloride,117.905,1.94465,3.68776,330.24619,1.45,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
sulfuryl chloride,133.9,2.68666,3.39456,263.61122,1.81,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
trichloroacetyl chloride,179.87,2.89895,3.72977,285.69623,1.2,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,1,2,2-tetrachloroethane",165.891,3.24445,3.53114,290.76515,1.32,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
tin(iv) chloride~|~stannic chloride~|~tin tetrachloride,259.778,2.97298,3.75769,277.72523,0.0,0,0,,NONPOLAR,OK
ethylpropionate~|~ethyl propanoate~|~propanoic acid ethyl ester,102.068,3.90764,3.37142,229.26569,1.8,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
isoamylacetate~|~isopentyl acetate~|~3-methylbutyl ethanoate,130.099,4.39541,3.55938,237.13467,1.8,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
butylpropionate~|~butyl propanoate~|~n-butylpropionate~|~propanoic acid butyl ester,130.099,4.60365,3.49505,234.09757,1.8,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ammonia,17.027,2.44608,2.3709,213.57063,0.0,1,1,,ASSOCIATIVE,"kappa_ab: lower, epsilon_k_ab: lower"
chloroethene~|~vinyl chloride,61.992,1.93804,3.46909,239.94582,1.45,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"n,n-dimethylhydrazine~|~1,1-dimethylhydrazine",60.069,5.129,2.56074,130.85909,0.0,2,1,,ASSOCIATIVE,OK
"1,2-dimethoxyethane",90.068,3.62847,3.33187,230.55538,1.71,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
perfluoropentane~|~n-perfluoropentane~|~perfluoro-n-pentane,287.981,4.29377,3.62194,169.55361,0.0,0,0,,NONPOLAR,OK
tert-butyl chloride~|~2-chloro-2-methylpropane,92.039,2.31373,3.93067,261.04115,2.13,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",185.902,2.8049,3.74996,234.58027,0.0,0,0,,NONPOLAR,OK
hydrogen peroxide,34.005,3.12821,2.17312,159.79095,0.0,2,2,,ASSOCIATIVE,OK
azacycloheptane~|~hexamethyleneimine~|~hexahydro-1h-azepine,99.105,3.52036,3.43894,176.40836,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
cyclopropyl methyl ketone,84.058,2.83146,3.54726,289.89884,0.0,1,0,,NONPOLAR,OK
methanal~|~formaldehyde,30.011,2.54645,2.6376,168.70429,2.33,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methylformamide~|~n-methylformamide,59.037,3.99182,2.69434,199.96711,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
"n,n-dimethylacetamide~|~n,n-dimethylethanamide",87.068,3.47319,3.33831,276.54326,3.81,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
acrylonitrile~|~2-propenenitrile,53.027,2.39589,3.34511,225.19945,3.87,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
acrolein~|~2-propenal,56.026,2.52214,3.255,232.73171,3.04,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
glycerol,92.047,1.77398,4.12228,408.59876,0.0,3,3,,ASSOCIATIVE,OK
3-buten-2-one~|~methyl vinyl ketone,70.042,2.52756,3.52403,260.98831,3.16,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methacrylic acid~|~2-methyl-2-propenoic acid,86.037,3.93398,3.12103,274.19259,0.0,1,1,,ASSOCIATIVE,OK
acetic anhydride~|~ethanoic anhydride,102.032,4.12031,3.13815,247.8918,2.79706,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-methyl-3-buten-2-ol,86.073,2.9728,3.63219,241.67593,0.0,1,1,,ASSOCIATIVE,OK
butyric acid~|~butanoic acid~|~n-butyric acid~|~n-butanoic acid,88.052,4.70085,2.98499,212.88224,0.0,1,1,,ASSOCIATIVE,OK
propane~|~n-propane,44.063,1.98602,3.6244,209.08586,0.0,0,0,,NONPOLAR,OK
propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,102.068,3.81902,3.40421,233.62688,1.8,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
