Clapeyron Database Parameters
Asymmetric parameters for mixing Multiparameter EoS [csvtype = unlike]
species1,cas1,species2,cas2,beta_v,gamma_v,beta_T,gamma_T,source
methane,74-82-8,helium~|~helium-4,7440-59-7,1.0,0.881405683,1.0,3.159776855,10.1021/je300655b
methane,74-82-8,argon,7440-37-1,1.034630259,1.014678542,0.990954281,0.989843388,10.1021/je300655b
nitrogen,7727-37-9,ethane,74-84-0,0.978880168,1.042352891,1.007671428,1.098650964,10.1021/je300655b
nitrogen,7727-37-9,propane~|~n-propane,74-98-6,0.974424681,1.081025408,1.002677329,1.201264026,10.1021/je300655b
nitrogen,7727-37-9,butane~|~n-butane,106-97-8,0.99608261,1.146949309,0.994515234,1.304886838,10.1021/je300655b
nitrogen,7727-37-9,isobutane~|~2-methylpropane,75-28-5,0.98641583,1.100576129,0.99286813,1.284462634,10.1021/je300655b
nitrogen,7727-37-9,pentane~|~n-pentane,109-66-0,1.0,1.078877166,1.0,1.419029041,10.1021/je300655b
nitrogen,7727-37-9,isopentane~|~methylbutane~|~2-methylbutane,78-78-4,1.0,1.154135439,1.0,1.38177077,10.1021/je300655b
nitrogen,7727-37-9,hexane~|~n-hexane,110-54-3,1.0,1.195952177,1.0,1.472607971,10.1021/je300655b
nitrogen,7727-37-9,heptane~|~n-heptane,142-82-5,1.0,1.40455409,1.0,1.520975334,10.1021/je300655b
nitrogen,7727-37-9,octane~|~n-octane,111-65-9,1.0,1.186067025,1.0,1.733280051,10.1021/je300655b
nitrogen,7727-37-9,nonane~|~n-nonane,111-84-2,1.0,1.100405929,0.95637945,1.749119996,10.1021/je300655b
nitrogen,7727-37-9,decane~|~n-decane,124-18-5,1.0,1.0,0.957934447,1.822157123,10.1021/je300655b
nitrogen,7727-37-9,hydrogen,1333-74-0,0.993,0.773,1.027,1.24,10.1063/5.0040533
nitrogen,7727-37-9,hydrogen sulfide,7783-06-4,0.910394249,1.256844157,1.004692366,0.9601742,10.1021/je300655b
nitrogen,7727-37-9,helium~|~helium-4,7440-59-7,0.969501055,0.932629867,0.692868765,1.47183158,10.1021/je300655b
carbon dioxide,124-38-9,ethane,74-84-0,1.002525718,1.032876701,1.013871147,0.90094953,10.1021/je300655b
carbon dioxide,124-38-9,propane~|~n-propane,74-98-6,0.996898004,1.047596298,1.033620538,0.908772477,10.1021/je300655b
carbon dioxide,124-38-9,butane~|~n-butane,106-97-8,1.174760923,1.222437324,1.018171004,0.911498231,10.1021/je300655b
carbon dioxide,124-38-9,isobutane~|~2-methylpropane,75-28-5,1.076551882,1.081909003,1.023339824,0.929982936,10.1021/je300655b
carbon dioxide,124-38-9,pentane~|~n-pentane,109-66-0,1.024311498,1.068406078,1.027000795,0.979217302,10.1021/je300655b
carbon dioxide,124-38-9,isopentane~|~methylbutane~|~2-methylbutane,78-78-4,1.060793104,1.116793198,1.019180957,0.961218039,10.1021/je300655b
carbon dioxide,124-38-9,hexane~|~n-hexane,110-54-3,1.0,0.851343711,1.0,1.038675574,10.1021/je300655b
carbon dioxide,124-38-9,heptane~|~n-heptane,142-82-5,1.205469976,1.164585914,1.011806317,1.046169823,10.1021/je300655b
carbon dioxide,124-38-9,octane~|~n-octane,111-65-9,1.026169373,1.104043935,1.02969078,1.074455386,10.1021/je300655b
carbon dioxide,124-38-9,nonane~|~n-nonane,111-84-2,1.0,0.973386152,1.00768862,1.140671202,10.1021/je300655b
carbon dioxide,124-38-9,decane~|~n-decane,124-18-5,1.000151132,1.183394668,1.02002879,1.145512213,10.1021/je300655b
carbon dioxide,124-38-9,hydrogen,1333-74-0,1.198,0.842,0.979,1.961,10.1063/5.0040533
carbon dioxide,124-38-9,hydrogen sulfide,7783-06-4,0.906630564,1.024085837,1.016034583,0.92601888,10.1021/je300655b
carbon dioxide,124-38-9,helium~|~helium-4,7440-59-7,0.846647561,0.864141549,0.76837763,3.207456948,10.1021/je300655b
ethane,74-84-0,propane~|~n-propane,74-98-6,0.997607277,1.00303472,0.996199694,1.01473019,10.1021/je300655b
ethane,74-84-0,butane~|~n-butane,106-97-8,0.999157205,1.006179146,0.999130554,1.034832749,10.1021/je300655b
ethane,74-84-0,isobutane~|~2-methylpropane,75-28-5,1.0,1.006616886,1.0,1.033283811,10.1021/je300655b
ethane,74-84-0,pentane~|~n-pentane,109-66-0,0.993851009,1.026085655,0.998688946,1.066665676,10.1021/je300655b
ethane,74-84-0,isopentane~|~methylbutane~|~2-methylbutane,78-78-4,1.0,1.045439935,1.0,1.021150247,10.1021/je300655b
ethane,74-84-0,hexane~|~n-hexane,110-54-3,1.0,1.169701102,1.0,1.092177796,10.1021/je300655b
ethane,74-84-0,heptane~|~n-heptane,142-82-5,1.0,1.057666085,1.0,1.134532014,10.1021/je300655b
ethane,74-84-0,octane~|~n-octane,111-65-9,1.007469726,1.071917985,0.984068272,1.168636194,10.1021/je300655b
ethane,74-84-0,nonane~|~n-nonane,111-84-2,1.0,1.14353473,1.0,1.05603303,10.1021/je300655b
ethane,74-84-0,decane~|~n-decane,124-18-5,0.995676258,1.098361281,0.970918061,1.237191558,10.1021/je300655b
ethane,74-84-0,hydrogen,1333-74-0,0.925367171,1.10607204,0.932969831,1.902008495,10.1021/je300655b
ethane,74-84-0,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,74-84-0,carbon monoxide,630-08-0,1.0,1.201417898,1.0,1.069224728,10.1021/je300655b
ethane,74-84-0,water,7732-18-5,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,74-84-0,hydrogen sulfide,7783-06-4,1.010817909,1.030988277,0.990197354,0.90273666,10.1021/je300655b
ethane,74-84-0,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,74-84-0,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
propane~|~n-propane,74-98-6,butane~|~n-butane,106-97-8,0.999795868,1.003264179,1.000310289,1.007392782,10.1021/je300655b
propane~|~n-propane,74-98-6,isobutane~|~2-methylpropane,75-28-5,0.999243146,1.001156119,0.998012298,1.005250774,10.1021/je300655b
propane~|~n-propane,74-98-6,pentane~|~n-pentane,109-66-0,1.044919431,1.019921513,0.996484021,1.008344412,10.1021/je300655b
propane~|~n-propane,74-98-6,isopentane~|~methylbutane~|~2-methylbutane,78-78-4,1.040459289,0.999432118,0.994364425,1.0032695,10.1021/je300655b
propane~|~n-propane,74-98-6,hexane~|~n-hexane,110-54-3,1.0,1.057872566,1.0,1.025657518,10.1021/je300655b
propane~|~n-propane,74-98-6,heptane~|~n-heptane,142-82-5,1.0,1.079648053,1.0,1.050044169,10.1021/je300655b
propane~|~n-propane,74-98-6,octane~|~n-octane,111-65-9,1.0,1.102764612,1.0,1.063694129,10.1021/je300655b
propane~|~n-propane,74-98-6,nonane~|~n-nonane,111-84-2,1.0,1.199769134,1.0,1.109973833,10.1021/je300655b
propane~|~n-propane,74-98-6,decane~|~n-decane,124-18-5,0.984104227,1.053040574,0.985331233,1.140905252,10.1021/je300655b
propane~|~n-propane,74-98-6,hydrogen,1333-74-0,1.0,1.07400611,1.0,2.308215191,10.1021/je300655b
propane~|~n-propane,74-98-6,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
propane~|~n-propane,74-98-6,carbon monoxide,630-08-0,1.0,1.108143673,1.0,1.197564208,10.1021/je300655b
propane~|~n-propane,74-98-6,water,7732-18-5,1.0,1.011759763,1.0,0.600340961,10.1021/je300655b
propane~|~n-propane,74-98-6,hydrogen sulfide,7783-06-4,0.936811219,1.010593999,0.992573556,0.905829247,10.1021/je300655b
propane~|~n-propane,74-98-6,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
propane~|~n-propane,74-98-6,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
butane~|~n-butane,106-97-8,isobutane~|~2-methylpropane,75-28-5,1.000880464,1.00041444,1.000077547,1.001432824,10.1021/je300655b
butane~|~n-butane,106-97-8,pentane~|~n-pentane,109-66-0,1.0,1.01815965,1.0,1.00214364,10.1021/je300655b
butane~|~n-butane,106-97-8,isopentane~|~methylbutane~|~2-methylbutane,78-78-4,1.0,1.002728434,1.0,1.000792201,10.1021/je300655b
butane~|~n-butane,106-97-8,hexane~|~n-hexane,110-54-3,1.0,1.034995284,1.0,1.00915706,10.1021/je300655b
butane~|~n-butane,106-97-8,heptane~|~n-heptane,142-82-5,1.0,1.019174227,1.0,1.021283378,10.1021/je300655b
butane~|~n-butane,106-97-8,octane~|~n-octane,111-65-9,1.0,1.046905515,1.0,1.033180106,10.1021/je300655b
butane~|~n-butane,106-97-8,nonane~|~n-nonane,111-84-2,1.0,1.049219137,1.0,1.014096448,10.1021/je300655b
butane~|~n-butane,106-97-8,decane~|~n-decane,124-18-5,0.976951968,1.027845529,0.993688386,1.076466918,10.1021/je300655b
butane~|~n-butane,106-97-8,hydrogen,1333-74-0,1.0,1.232939523,1.0,2.509259945,10.1021/je300655b
butane~|~n-butane,106-97-8,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
butane~|~n-butane,106-97-8,carbon monoxide,630-08-0,1.0,1.084740904,1.0,1.173916162,10.1021/je300655b
butane~|~n-butane,106-97-8,water,7732-18-5,1.0,1.223638763,1.0,0.615512682,10.1021/je300655b
butane~|~n-butane,106-97-8,hydrogen sulfide,7783-06-4,0.908113163,1.033366041,0.985962886,0.926156602,10.1021/je300655b
butane~|~n-butane,106-97-8,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
butane~|~n-butane,106-97-8,argon,7440-37-1,1.0,1.214638734,1.0,1.245039498,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,pentane~|~n-pentane,109-66-0,1.0,1.002779804,1.0,1.002495889,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,isopentane~|~methylbutane~|~2-methylbutane,78-78-4,1.0,1.002284353,1.0,1.001835788,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,hexane~|~n-hexane,110-54-3,1.0,1.010493989,1.0,1.006018054,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,heptane~|~n-heptane,142-82-5,1.0,1.021668316,1.0,1.00988576,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,octane~|~n-octane,111-65-9,1.0,1.032807063,1.0,1.013945424,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,nonane~|~n-nonane,111-84-2,1.0,1.047298475,1.0,1.017817492,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,decane~|~n-decane,124-18-5,1.0,1.060243344,1.0,1.021624748,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,hydrogen,1333-74-0,1.0,1.147595688,1.0,1.895305393,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,carbon monoxide,630-08-0,1.0,1.087272232,1.0,1.161390082,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,water,7732-18-5,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,hydrogen sulfide,7783-06-4,1.012994431,0.988591117,0.974550548,0.937130844,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane~|~2-methylpropane,75-28-5,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane~|~n-pentane,109-66-0,isopentane~|~methylbutane~|~2-methylbutane,78-78-4,1.0,1.000024335,1.0,1.000050537,10.1021/je300655b
pentane~|~n-pentane,109-66-0,hexane~|~n-hexane,110-54-3,1.0,1.002480637,1.0,1.000761237,10.1021/je300655b
pentane~|~n-pentane,109-66-0,heptane~|~n-heptane,142-82-5,1.0,1.008972412,1.0,1.002441051,10.1021/je300655b
pentane~|~n-pentane,109-66-0,octane~|~n-octane,111-65-9,1.0,1.069223964,1.0,1.016422347,10.1021/je300655b
pentane~|~n-pentane,109-66-0,nonane~|~n-nonane,111-84-2,1.0,1.034910633,1.0,1.103421755,10.1021/je300655b
pentane~|~n-pentane,109-66-0,decane~|~n-decane,124-18-5,1.0,1.016370338,1.0,1.049035838,10.1021/je300655b
pentane~|~n-pentane,109-66-0,hydrogen,1333-74-0,1.0,1.188334783,1.0,2.013859174,10.1021/je300655b
pentane~|~n-pentane,109-66-0,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane~|~n-pentane,109-66-0,carbon monoxide,630-08-0,1.0,1.119954454,1.0,1.206043295,10.1021/je300655b
pentane~|~n-pentane,109-66-0,water,7732-18-5,1.0,0.95667731,1.0,0.447666011,10.1021/je300655b
pentane~|~n-pentane,109-66-0,hydrogen sulfide,7783-06-4,0.984613203,1.076539234,0.962006651,0.959065662,10.1021/je300655b
pentane~|~n-pentane,109-66-0,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane~|~n-pentane,109-66-0,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,hexane~|~n-hexane,110-54-3,1.0,1.002995876,1.0,1.001204174,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,heptane~|~n-heptane,142-82-5,1.0,1.009928206,1.0,1.003194615,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,octane~|~n-octane,111-65-9,1.0,1.017880545,1.0,1.00564748,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,nonane~|~n-nonane,111-84-2,1.0,1.028994325,1.0,1.008191499,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,decane~|~n-decane,124-18-5,1.0,1.039372957,1.0,1.010825138,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,hydrogen,1333-74-0,1.0,1.184340443,1.0,1.996386669,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,carbon monoxide,630-08-0,1.0,1.116694577,1.0,1.199326059,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,water,7732-18-5,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,hydrogen sulfide,7783-06-4,1.0,0.835763343,1.0,0.982651529,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,78-78-4,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane~|~n-hexane,110-54-3,heptane~|~n-heptane,142-82-5,1.0,1.001508227,1.0,0.999762786,10.1021/je300655b
hexane~|~n-hexane,110-54-3,octane~|~n-octane,111-65-9,1.0,1.006268954,1.0,1.001633952,10.1021/je300655b
hexane~|~n-hexane,110-54-3,nonane~|~n-nonane,111-84-2,1.0,1.02076168,1.0,1.055369591,10.1021/je300655b
hexane~|~n-hexane,110-54-3,decane~|~n-decane,124-18-5,1.001516371,1.013511439,0.99764101,1.028939539,10.1021/je300655b
hexane~|~n-hexane,110-54-3,hydrogen,1333-74-0,1.0,1.243461678,1.0,3.021197546,10.1021/je300655b
hexane~|~n-hexane,110-54-3,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane~|~n-hexane,110-54-3,carbon monoxide,630-08-0,1.0,1.155145836,1.0,1.233272781,10.1021/je300655b
hexane~|~n-hexane,110-54-3,water,7732-18-5,1.0,1.170217596,1.0,0.569681333,10.1021/je300655b
hexane~|~n-hexane,110-54-3,hydrogen sulfide,7783-06-4,0.754473958,1.339283552,0.985891113,0.956075596,10.1021/je300655b
hexane~|~n-hexane,110-54-3,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane~|~n-hexane,110-54-3,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane~|~n-heptane,142-82-5,octane~|~n-octane,111-65-9,1.0,1.006767176,1.0,0.998793111,10.1021/je300655b
heptane~|~n-heptane,142-82-5,nonane~|~n-nonane,111-84-2,1.0,1.001370076,1.0,1.001150096,10.1021/je300655b
heptane~|~n-heptane,142-82-5,decane~|~n-decane,124-18-5,1.0,1.002972346,1.0,1.002229938,10.1021/je300655b
heptane~|~n-heptane,142-82-5,hydrogen,1333-74-0,1.0,1.159131722,1.0,3.169143057,10.1021/je300655b
heptane~|~n-heptane,142-82-5,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane~|~n-heptane,142-82-5,carbon monoxide,630-08-0,1.0,1.190354273,1.0,1.256123503,10.1021/je300655b
heptane~|~n-heptane,142-82-5,water,7732-18-5,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane~|~n-heptane,142-82-5,hydrogen sulfide,7783-06-4,0.828967164,1.087956749,0.988937417,1.013453092,10.1021/je300655b
heptane~|~n-heptane,142-82-5,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane~|~n-heptane,142-82-5,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
octane~|~n-octane,111-65-9,nonane~|~n-nonane,111-84-2,1.0,1.001357085,1.0,1.000235044,10.1021/je300655b
octane~|~n-octane,111-65-9,decane~|~n-decane,124-18-5,1.0,1.002553544,1.0,1.007186267,10.1021/je300655b
octane~|~n-octane,111-65-9,hydrogen,1333-74-0,1.0,1.305249405,1.0,2.191555216,10.1021/je300655b
octane~|~n-octane,111-65-9,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
octane~|~n-octane,111-65-9,carbon monoxide,630-08-0,1.0,1.219206702,1.0,1.276565536,10.1021/je300655b
octane~|~n-octane,111-65-9,water,7732-18-5,1.0,0.599484191,1.0,0.662072469,10.1021/je300655b
octane~|~n-octane,111-65-9,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1021/je300655b
octane~|~n-octane,111-65-9,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
octane~|~n-octane,111-65-9,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane~|~n-nonane,111-84-2,decane~|~n-decane,124-18-5,1.0,1.00081052,1.0,1.000182392,10.1021/je300655b
nonane~|~n-nonane,111-84-2,hydrogen,1333-74-0,1.0,1.342647661,1.0,2.23435404,10.1021/je300655b
nonane~|~n-nonane,111-84-2,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane~|~n-nonane,111-84-2,carbon monoxide,630-08-0,1.0,1.252151449,1.0,1.294070556,10.1021/je300655b
nonane~|~n-nonane,111-84-2,water,7732-18-5,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane~|~n-nonane,111-84-2,hydrogen sulfide,7783-06-4,1.0,1.082905109,1.0,1.086557826,10.1021/je300655b
nonane~|~n-nonane,111-84-2,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane~|~n-nonane,111-84-2,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
decane~|~n-decane,124-18-5,hydrogen,1333-74-0,1.695358382,1.120233729,1.064818089,3.786003724,10.1021/je300655b
decane~|~n-decane,124-18-5,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
decane~|~n-decane,124-18-5,carbon monoxide,630-08-0,1.0,0.87018496,1.049594632,1.803567587,10.1021/je300655b
decane~|~n-decane,124-18-5,water,7732-18-5,1.0,0.551405318,0.897162268,0.740416402,10.1021/je300655b
decane~|~n-decane,124-18-5,hydrogen sulfide,7783-06-4,0.975187766,1.171714677,0.973091413,1.103693489,10.1021/je300655b
decane~|~n-decane,124-18-5,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
decane~|~n-decane,124-18-5,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,1333-74-0,oxygen,7782-44-7,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon monoxide,630-08-0,hydrogen,1333-74-0,1.037,1.04,1.078,1.105,10.1063/5.0040533
hydrogen,1333-74-0,water,7732-18-5,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,1333-74-0,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,1333-74-0,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,1333-74-0,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,7782-44-7,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,7782-44-7,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon monoxide,630-08-0,hydrogen sulfide,7783-06-4,0.795660392,1.101731308,1.025536736,1.022749748,10.1021/je300655b
carbon monoxide,630-08-0,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
water,7732-18-5,hydrogen sulfide,7783-06-4,1.0,1.014832832,1.0,0.940587083,10.1021/je300655b
water,7732-18-5,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen sulfide,7783-06-4,helium~|~helium-4,7440-59-7,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen sulfide,7783-06-4,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
helium~|~helium-4,7440-59-7,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1021/je300655b
ethanol,64-17-5,water,7732-18-5,1.0624092,0.8687762,0.971761,0.93996768,
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",811-97-2,"r245fa~|~1,1,1,3,3-pentafluoropropane",460-73-1,0.992025,1.0,1.0,1.00643,akasaka-purdue-2014
