Clapeyron Database File
Asymmetric mixing parameters for EOS-LNG [csvtype = unlike]
species1,species2,beta_v,gamma_v,beta_T,gamma_T,source
nitrogen,butane~|~n-butane,0.99608261,1.146949309,0.994515234,1.304886838,10.1021/je300655b
nitrogen,isobutane~|~2-methylpropane,0.98641583,1.100576129,0.99286813,1.284462634,10.1021/je300655b
nitrogen,pentane~|~n-pentane,1.0,1.078877166,1.0,1.419029041,10.1021/je300655b
nitrogen,isopentane~|~methylbutane~|~2-methylbutane,1.0,1.154135439,1.0,1.38177077,10.1021/je300655b
nitrogen,hexane~|~n-hexane,1.0,1.195952177,1.0,1.472607971,10.1021/je300655b
nitrogen,heptane~|~n-heptane,1.0,1.40455409,1.0,1.520975334,10.1021/je300655b
nitrogen,octane~|~n-octane,1.0,1.186067025,1.0,1.733280051,10.1021/je300655b
nitrogen,nonane~|~n-nonane,1.0,1.100405929,0.95637945,1.749119996,10.1021/je300655b
nitrogen,decane~|~n-decane,1.0,1.0,0.957934447,1.822157123,10.1021/je300655b
nitrogen,hydrogen,0.972532065,0.970115357,0.946134337,1.175696583,10.1021/je300655b
nitrogen,carbon monoxide,1.0,1.008690943,1.0,0.993425388,10.1021/je300655b
nitrogen,water,1.0,1.094749685,1.0,0.968808467,10.1021/je300655b
nitrogen,oxygen,0.99952177,0.997082328,0.997190589,0.995157044,10.1021/je300655b
nitrogen,hydrogen sulfide,0.910394249,1.256844157,1.004692366,0.9601742,10.1021/je300655b
nitrogen,helium~|~helium-4,0.969501055,0.932629867,0.692868765,1.47183158,10.1021/je300655b
nitrogen,argon,1.004166412,1.002212182,0.999069843,0.990034831,10.1021/je300655b
carbon dioxide,ethane,1.002525718,1.032876701,1.013871147,0.90094953,10.1021/je300655b
carbon dioxide,propane~|~n-propane,0.996898004,1.047596298,1.033620538,0.908772477,10.1021/je300655b
carbon dioxide,butane~|~n-butane,1.174760923,1.222437324,1.018171004,0.911498231,10.1021/je300655b
carbon dioxide,isobutane~|~2-methylpropane,1.076551882,1.081909003,1.023339824,0.929982936,10.1021/je300655b
carbon dioxide,pentane~|~n-pentane,1.024311498,1.068406078,1.027000795,0.979217302,10.1021/je300655b
carbon dioxide,isopentane~|~methylbutane~|~2-methylbutane,1.060793104,1.116793198,1.019180957,0.961218039,10.1021/je300655b
carbon dioxide,hexane~|~n-hexane,1.0,0.851343711,1.0,1.038675574,10.1021/je300655b
carbon dioxide,heptane~|~n-heptane,1.205469976,1.164585914,1.011806317,1.046169823,10.1021/je300655b
carbon dioxide,octane~|~n-octane,1.026169373,1.104043935,1.02969078,1.074455386,10.1021/je300655b
carbon dioxide,nonane~|~n-nonane,1.0,0.973386152,1.00768862,1.140671202,10.1021/je300655b
carbon dioxide,decane~|~n-decane,1.000151132,1.183394668,1.02002879,1.145512213,10.1021/je300655b
carbon dioxide,hydrogen,0.904142159,1.15279255,0.942320195,1.782924792,10.1021/je300655b
carbon dioxide,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon dioxide,carbon monoxide,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon dioxide,water,0.949055959,1.542328793,0.997372205,0.775453996,10.1021/je300655b
carbon dioxide,hydrogen sulfide,0.906630564,1.024085837,1.016034583,0.92601888,10.1021/je300655b
carbon dioxide,helium~|~helium-4,0.846647561,0.864141549,0.76837763,3.207456948,10.1021/je300655b
carbon dioxide,argon,1.008392428,1.029205465,0.996512863,1.050971635,10.1021/je300655b
ethane,propane~|~n-propane,0.997607277,1.00303472,0.996199694,1.01473019,10.1021/je300655b
ethane,butane~|~n-butane,0.999157205,1.006179146,0.999130554,1.034832749,10.1021/je300655b
ethane,isobutane~|~2-methylpropane,1.0,1.006616886,1.0,1.033283811,10.1021/je300655b
ethane,pentane~|~n-pentane,0.993851009,1.026085655,0.998688946,1.066665676,10.1021/je300655b
ethane,isopentane~|~methylbutane~|~2-methylbutane,1.0,1.045439935,1.0,1.021150247,10.1021/je300655b
ethane,hexane~|~n-hexane,1.0,1.169701102,1.0,1.092177796,10.1021/je300655b
ethane,heptane~|~n-heptane,1.0,1.057666085,1.0,1.134532014,10.1021/je300655b
ethane,octane~|~n-octane,1.007469726,1.071917985,0.984068272,1.168636194,10.1021/je300655b
ethane,nonane~|~n-nonane,1.0,1.14353473,1.0,1.05603303,10.1021/je300655b
ethane,decane~|~n-decane,0.995676258,1.098361281,0.970918061,1.237191558,10.1021/je300655b
ethane,hydrogen,0.925367171,1.10607204,0.932969831,1.902008495,10.1021/je300655b
ethane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,carbon monoxide,1.0,1.201417898,1.0,1.069224728,10.1021/je300655b
ethane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,hydrogen sulfide,1.010817909,1.030988277,0.990197354,0.90273666,10.1021/je300655b
ethane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
ethane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
propane~|~n-propane,butane~|~n-butane,0.999795868,1.003264179,1.000310289,1.007392782,10.1021/je300655b
propane~|~n-propane,isobutane~|~2-methylpropane,0.999243146,1.001156119,0.998012298,1.005250774,10.1021/je300655b
propane~|~n-propane,pentane~|~n-pentane,1.044919431,1.019921513,0.996484021,1.008344412,10.1021/je300655b
propane~|~n-propane,isopentane~|~methylbutane~|~2-methylbutane,1.040459289,0.999432118,0.994364425,1.0032695,10.1021/je300655b
propane~|~n-propane,hexane~|~n-hexane,1.0,1.057872566,1.0,1.025657518,10.1021/je300655b
propane~|~n-propane,heptane~|~n-heptane,1.0,1.079648053,1.0,1.050044169,10.1021/je300655b
propane~|~n-propane,octane~|~n-octane,1.0,1.102764612,1.0,1.063694129,10.1021/je300655b
propane~|~n-propane,nonane~|~n-nonane,1.0,1.199769134,1.0,1.109973833,10.1021/je300655b
propane~|~n-propane,decane~|~n-decane,0.984104227,1.053040574,0.985331233,1.140905252,10.1021/je300655b
propane~|~n-propane,hydrogen,1.0,1.07400611,1.0,2.308215191,10.1021/je300655b
propane~|~n-propane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
propane~|~n-propane,carbon monoxide,1.0,1.108143673,1.0,1.197564208,10.1021/je300655b
propane~|~n-propane,water,1.0,1.011759763,1.0,0.600340961,10.1021/je300655b
propane~|~n-propane,hydrogen sulfide,0.936811219,1.010593999,0.992573556,0.905829247,10.1021/je300655b
propane~|~n-propane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
propane~|~n-propane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
butane~|~n-butane,isobutane~|~2-methylpropane,1.000880464,1.00041444,1.000077547,1.001432824,10.1021/je300655b
butane~|~n-butane,pentane~|~n-pentane,1.0,1.01815965,1.0,1.00214364,10.1021/je300655b
butane~|~n-butane,isopentane~|~methylbutane~|~2-methylbutane,1.0,1.002728434,1.0,1.000792201,10.1021/je300655b
butane~|~n-butane,hexane~|~n-hexane,1.0,1.034995284,1.0,1.00915706,10.1021/je300655b
butane~|~n-butane,heptane~|~n-heptane,1.0,1.019174227,1.0,1.021283378,10.1021/je300655b
butane~|~n-butane,octane~|~n-octane,1.0,1.046905515,1.0,1.033180106,10.1021/je300655b
butane~|~n-butane,nonane~|~n-nonane,1.0,1.049219137,1.0,1.014096448,10.1021/je300655b
butane~|~n-butane,decane~|~n-decane,0.976951968,1.027845529,0.993688386,1.076466918,10.1021/je300655b
butane~|~n-butane,hydrogen,1.0,1.232939523,1.0,2.509259945,10.1021/je300655b
butane~|~n-butane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
butane~|~n-butane,carbon monoxide,1.0,1.084740904,1.0,1.173916162,10.1021/je300655b
butane~|~n-butane,water,1.0,1.223638763,1.0,0.615512682,10.1021/je300655b
butane~|~n-butane,hydrogen sulfide,0.908113163,1.033366041,0.985962886,0.926156602,10.1021/je300655b
butane~|~n-butane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
butane~|~n-butane,argon,1.0,1.214638734,1.0,1.245039498,10.1021/je300655b
isobutane~|~2-methylpropane,pentane~|~n-pentane,1.0,1.002779804,1.0,1.002495889,10.1021/je300655b
isobutane~|~2-methylpropane,isopentane~|~methylbutane~|~2-methylbutane,1.0,1.002284353,1.0,1.001835788,10.1021/je300655b
isobutane~|~2-methylpropane,hexane~|~n-hexane,1.0,1.010493989,1.0,1.006018054,10.1021/je300655b
isobutane~|~2-methylpropane,heptane~|~n-heptane,1.0,1.021668316,1.0,1.00988576,10.1021/je300655b
isobutane~|~2-methylpropane,octane~|~n-octane,1.0,1.032807063,1.0,1.013945424,10.1021/je300655b
isobutane~|~2-methylpropane,nonane~|~n-nonane,1.0,1.047298475,1.0,1.017817492,10.1021/je300655b
isobutane~|~2-methylpropane,decane~|~n-decane,1.0,1.060243344,1.0,1.021624748,10.1021/je300655b
isobutane~|~2-methylpropane,hydrogen,1.0,1.147595688,1.0,1.895305393,10.1021/je300655b
isobutane~|~2-methylpropane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane~|~2-methylpropane,carbon monoxide,1.0,1.087272232,1.0,1.161390082,10.1021/je300655b
isobutane~|~2-methylpropane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane~|~2-methylpropane,hydrogen sulfide,1.012994431,0.988591117,0.974550548,0.937130844,10.1021/je300655b
isobutane~|~2-methylpropane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
isobutane~|~2-methylpropane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane~|~n-pentane,isopentane~|~methylbutane~|~2-methylbutane,1.0,1.000024335,1.0,1.000050537,10.1021/je300655b
pentane~|~n-pentane,hexane~|~n-hexane,1.0,1.002480637,1.0,1.000761237,10.1021/je300655b
pentane~|~n-pentane,heptane~|~n-heptane,1.0,1.008972412,1.0,1.002441051,10.1021/je300655b
pentane~|~n-pentane,octane~|~n-octane,1.0,1.069223964,1.0,1.016422347,10.1021/je300655b
pentane~|~n-pentane,nonane~|~n-nonane,1.0,1.034910633,1.0,1.103421755,10.1021/je300655b
pentane~|~n-pentane,decane~|~n-decane,1.0,1.016370338,1.0,1.049035838,10.1021/je300655b
pentane~|~n-pentane,hydrogen,1.0,1.188334783,1.0,2.013859174,10.1021/je300655b
pentane~|~n-pentane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane~|~n-pentane,carbon monoxide,1.0,1.119954454,1.0,1.206043295,10.1021/je300655b
pentane~|~n-pentane,water,1.0,0.95667731,1.0,0.447666011,10.1021/je300655b
pentane~|~n-pentane,hydrogen sulfide,0.984613203,1.076539234,0.962006651,0.959065662,10.1021/je300655b
pentane~|~n-pentane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
pentane~|~n-pentane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,hexane~|~n-hexane,1.0,1.002995876,1.0,1.001204174,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,heptane~|~n-heptane,1.0,1.009928206,1.0,1.003194615,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,octane~|~n-octane,1.0,1.017880545,1.0,1.00564748,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,nonane~|~n-nonane,1.0,1.028994325,1.0,1.008191499,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,decane~|~n-decane,1.0,1.039372957,1.0,1.010825138,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,hydrogen,1.0,1.184340443,1.0,1.996386669,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,carbon monoxide,1.0,1.116694577,1.0,1.199326059,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,hydrogen sulfide,1.0,0.835763343,1.0,0.982651529,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
isopentane~|~methylbutane~|~2-methylbutane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane~|~n-hexane,heptane~|~n-heptane,1.0,1.001508227,1.0,0.999762786,10.1021/je300655b
hexane~|~n-hexane,octane~|~n-octane,1.0,1.006268954,1.0,1.001633952,10.1021/je300655b
hexane~|~n-hexane,nonane~|~n-nonane,1.0,1.02076168,1.0,1.055369591,10.1021/je300655b
hexane~|~n-hexane,decane~|~n-decane,1.001516371,1.013511439,0.99764101,1.028939539,10.1021/je300655b
hexane~|~n-hexane,hydrogen,1.0,1.243461678,1.0,3.021197546,10.1021/je300655b
hexane~|~n-hexane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane~|~n-hexane,carbon monoxide,1.0,1.155145836,1.0,1.233272781,10.1021/je300655b
hexane~|~n-hexane,water,1.0,1.170217596,1.0,0.569681333,10.1021/je300655b
hexane~|~n-hexane,hydrogen sulfide,0.754473958,1.339283552,0.985891113,0.956075596,10.1021/je300655b
hexane~|~n-hexane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
hexane~|~n-hexane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane~|~n-heptane,octane~|~n-octane,1.0,1.006767176,1.0,0.998793111,10.1021/je300655b
heptane~|~n-heptane,nonane~|~n-nonane,1.0,1.001370076,1.0,1.001150096,10.1021/je300655b
heptane~|~n-heptane,decane~|~n-decane,1.0,1.002972346,1.0,1.002229938,10.1021/je300655b
heptane~|~n-heptane,hydrogen,1.0,1.159131722,1.0,3.169143057,10.1021/je300655b
heptane~|~n-heptane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane~|~n-heptane,carbon monoxide,1.0,1.190354273,1.0,1.256123503,10.1021/je300655b
heptane~|~n-heptane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane~|~n-heptane,hydrogen sulfide,0.828967164,1.087956749,0.988937417,1.013453092,10.1021/je300655b
heptane~|~n-heptane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
heptane~|~n-heptane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
octane~|~n-octane,nonane~|~n-nonane,1.0,1.001357085,1.0,1.000235044,10.1021/je300655b
octane~|~n-octane,decane~|~n-decane,1.0,1.002553544,1.0,1.007186267,10.1021/je300655b
octane~|~n-octane,hydrogen,1.0,1.305249405,1.0,2.191555216,10.1021/je300655b
octane~|~n-octane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
octane~|~n-octane,carbon monoxide,1.0,1.219206702,1.0,1.276565536,10.1021/je300655b
octane~|~n-octane,water,1.0,0.599484191,1.0,0.662072469,10.1021/je300655b
octane~|~n-octane,hydrogen sulfide,1.0,1.0,1.0,1.0,10.1021/je300655b
octane~|~n-octane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
octane~|~n-octane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane~|~n-nonane,decane~|~n-decane,1.0,1.00081052,1.0,1.000182392,10.1021/je300655b
nonane~|~n-nonane,hydrogen,1.0,1.342647661,1.0,2.23435404,10.1021/je300655b
nonane~|~n-nonane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane~|~n-nonane,carbon monoxide,1.0,1.252151449,1.0,1.294070556,10.1021/je300655b
nonane~|~n-nonane,water,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane~|~n-nonane,hydrogen sulfide,1.0,1.082905109,1.0,1.086557826,10.1021/je300655b
nonane~|~n-nonane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
nonane~|~n-nonane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
decane~|~n-decane,hydrogen,1.695358382,1.120233729,1.064818089,3.786003724,10.1021/je300655b
decane~|~n-decane,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
decane~|~n-decane,carbon monoxide,1.0,0.87018496,1.049594632,1.803567587,10.1021/je300655b
decane~|~n-decane,water,1.0,0.551405318,0.897162268,0.740416402,10.1021/je300655b
decane~|~n-decane,hydrogen sulfide,0.975187766,1.171714677,0.973091413,1.103693489,10.1021/je300655b
decane~|~n-decane,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
decane~|~n-decane,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,oxygen,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,carbon monoxide,1.0,1.121416201,1.0,1.377504607,10.1021/je300655b
hydrogen,water,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,hydrogen sulfide,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,carbon monoxide,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,water,1.0,1.143174289,1.0,0.964767932,10.1021/je300655b
oxygen,hydrogen sulfide,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
oxygen,argon,0.999746847,0.993907223,1.000023103,0.990430423,10.1021/je300655b
carbon monoxide,water,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon monoxide,hydrogen sulfide,0.795660392,1.101731308,1.025536736,1.022749748,10.1021/je300655b
carbon monoxide,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
carbon monoxide,argon,1.0,1.159720623,1.0,0.954215746,10.1021/je300655b
water,hydrogen sulfide,1.0,1.014832832,1.0,0.940587083,10.1021/je300655b
water,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
water,argon,1.0,1.038993495,1.0,1.070941866,10.1021/je300655b
hydrogen sulfide,helium~|~helium-4,1.0,1.0,1.0,1.0,10.1021/je300655b
hydrogen sulfide,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
helium~|~helium-4,argon,1.0,1.0,1.0,1.0,10.1021/je300655b
