Clapeyron Database File
DIPPR105 Like Parameters for molar volume (from Perry)
CAS,species,A,B,C,D,Tmin,Tmax
107-13-1,acrylonitrile~|~2-propenenitrile,1081.6,0.2293,535.0,0.28939,189.63,535.0
107-15-3,"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",784.2,0.20702,593.0,0.20254,284.29,593.0
107-21-1,"glycol~|~1,2-ethanediol~|~ethylene glycol",1315.0,0.25125,720.0,0.21868,260.15,720.0
107-25-5,methylvinylether~|~vinyl methyl ether,1258.7,0.26433,437.0,0.25819,151.15,437.0
107-31-3,methylformate~|~methyl methanoate,1525.0,0.2634,487.2,0.2806,174.15,487.2
107-83-5,isohexane~|~2-methylpentane,727.01,0.26754,497.7,0.28268,119.55,497.7
107-87-9,2-pentanone~|~pentan-2-one~|~methyln-propylketone,904.11,0.27207,561.08,0.30669,196.29,561.08
107-88-0,"1,3-butanediol",818.56,0.24967,676.0,0.22023,196.15,676.0
107-92-6,butyricacid~|~butanoic acid~|~n-butyric acid~|~n-butanoicacid,884.43,0.25828,615.7,0.248,267.95,615.7
108-05-4,vinyl acetate,959.1,0.2593,519.13,0.27448,180.35,519.13
108-10-1,4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,716.87,0.26453,574.6,0.28918,189.15,574.6
108-18-9,diisopropylamine~|~di-isopropyl amine,618.1,0.25786,523.1,0.271,176.85,523.1
108-20-3,diisopropyl ether~|~di-isopropyl ether,692.13,0.26974,500.05,0.28571,187.65,500.05
108-24-7,acetic anhydride~|~ethanoic anhydride,868.52,0.25187,606.0,0.31172,200.15,606.0
108-38-3,"mxylene~|~m-xylene~|~1,3-dimethylbenzene",689.02,0.26086,617.0,0.27479,225.3,617.0
108-39-4,m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene,906.1,0.28268,705.85,0.2707,285.39,705.85
108-86-1,bromobenzene,822.6,0.26632,670.15,0.2821,242.43,670.15
108-87-2,methylcyclohexane,731.09,0.26971,572.1,0.29185,146.58,572.1
108-88-3,toluene,879.2,0.27136,591.75,0.29241,178.18,591.75
108-90-7,chlorobenzene~|~monochlorobenzene,871.1,0.26805,632.35,0.2799,227.95,632.35
108-93-0,cyclohexanol,824.3,0.26545,650.1,0.28495,296.6,650.1
108-94-1,cyclohexanone,864.64,0.26888,653.0,0.29943,242.0,653.0
108-95-2,phenol,1379.8,0.31598,694.25,0.32768,314.06,694.25
108-98-5,benzenethiol~|~phenyl mercaptan,835.73,0.26326,689.0,0.30798,258.27,689.0
109-52-4,bucooh~|~n-bucooh~|~pentanoic acid~|~n-pentanoic acid,734.55,0.25636,639.16,0.25522,239.15,639.16
109-60-4,propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,730.41,0.25456,549.73,0.27666,178.15,549.73
109-66-0,pentane~|~n-pentane,849.47,0.26726,469.7,0.27789,143.42,469.7
109-67-1,pentene~|~1-pentene,898.16,0.26608,464.8,0.28571,108.02,464.8
109-74-0,butyronitrile~|~butanenitrile~|~n-butyronitrile,875.33,0.24331,582.25,0.28586,161.25,582.25
109-79-5,butanethiol~|~1-butanethiol~|~butyl mercaptan~|~n-butyl mercaptan,894.58,0.27463,570.1,0.28512,157.46,570.1
109-89-7,diethylamine,853.79,0.25675,496.6,0.27027,223.35,496.6
109-94-4,ethylformate~|~ethyl methanoate,1134.3,0.26168,508.4,0.2791,193.55,508.4
109-99-9,thf~|~tetrahydrofuran,1254.3,0.28084,540.15,0.2912,164.65,540.15
110-00-9,furan,1133.9,0.24741,490.15,0.2612,187.55,490.15
110-01-0,tetrahydrothiophene,1162.8,0.28954,631.95,0.28674,176.99,631.95
110-02-1,thiophene,1287.4,0.28194,579.35,0.30781,234.94,579.35
110-15-6,succinicacid,702.84,0.22268,806.0,0.28571,460.65,806.0
110-43-0,2-heptanone,582.47,0.25279,611.4,0.29818,238.15,611.4
110-54-3,hexane~|~n-hexane,708.24,0.26411,507.6,0.27537,177.83,507.6
110-62-3,pentanal~|~1-pentanal~|~valeraldehyde,838.71,0.26252,566.1,0.29444,182.0,566.1
110-66-7,1-pentanethiol~|~pentyl mercaptan~|~n-pentyl mercaptan,753.45,0.27047,598.0,0.30583,197.45,598.0
110-74-7,propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate,915.0,0.26134,538.0,0.28,180.25,538.0
110-82-7,cyclohexane,889.98,0.27376,553.8,0.28571,279.69,553.8
110-83-8,cyclohexene,929.97,0.27056,560.4,0.28943,169.67,560.4
111-13-7,2-octanone,500.06,0.24851,632.7,0.29942,252.85,632.7
111-14-8,heptanoic acid~|~n-heptanoicacid,530.66,0.24729,677.3,0.28289,265.83,677.3
111-27-3,1-hexanol~|~hexan-1-ol,700.93,0.26776,611.3,0.24919,228.55,611.3
111-31-9,1-hexanethiol~|~hexyl mercaptan~|~n-hexyl mercaptan,663.72,0.27345,623.0,0.29185,192.62,623.0
111-42-2,diethanolamine,681.84,0.23796,736.6,0.2062,301.15,736.6
111-65-9,octane~|~n-octane,526.6,0.25693,568.7,0.28571,216.38,568.7
111-66-0,octene~|~1-octene~|~oct-1-ene,554.49,0.25952,566.9,0.28571,171.45,566.9
111-70-6,1-heptanol~|~heptan-1-ol,556.87,0.24725,632.3,0.31471,239.15,632.3
111-71-7,heptanal~|~1-heptanal,590.06,0.25609,616.8,0.28384,229.8,616.8
111-84-2,nonane~|~n-nonane,463.21,0.25444,594.6,0.28571,219.66,594.6
111-87-5,1-octanol~|~octan-1-ol,489.79,0.24931,652.3,0.27824,257.65,652.3
111-88-6,1-octanethiol~|~octyl mercaptan~|~n-octyl mercaptan,525.77,0.27234,667.3,0.30063,223.95,667.3
112-05-0,nonanoic acid~|~n-nonanoic acid,415.82,0.24284,710.7,0.30036,285.55,710.7
112-30-1,1-decanol~|~decan-1-ol,382.08,0.24645,688.0,0.26125,280.05,688.0
112-31-2,decanal~|~1-decanal,468.02,0.27146,674.2,0.26869,267.15,674.2
112-40-3,dodecane~|~n-dodecane,332.67,0.24664,658.0,0.28571,263.57,658.0
112-42-5,1-undecanol,331.13,0.23676,703.9,0.2762,288.45,703.9
112-95-8,eicosane~|~n-eicosane,181.66,0.23351,768.0,0.28571,309.58,768.0
115-07-1,propene~|~propylene,1440.3,0.26852,364.85,0.28775,87.89,364.85
115-10-6,dimethyl ether,1569.3,0.2679,400.1,0.2882,131.65,400.1
115-11-7,isobutene~|~isobutylene~|~2-methylpropene,1144.6,0.2724,417.9,0.28172,132.81,417.9
115-21-9,ethyltrichlorosilane~|~ethyl silicon trichloride,585.79,0.24246,559.95,0.29509,167.55,559.95
116-53-0,2-methylbutyric acid~|~2-methylbutanoic acid,727.62,0.25244,643.0,0.28571,193.0,643.0
118-96-7,"2,4,6-trinitrotoluene~|~2-methyl-1,3,5-trinitrobenzene",373.78,0.21379,828.0,0.29905,354.0,828.0
119-61-9,benzophenone,437.43,0.24833,830.0,0.27555,321.35,830.0
119-64-2,"tetralin~|~1,2,3,4-tetrahydronaphthalene",677.17,0.27772,720.0,0.2878,237.38,720.0
120-61-6,"dimethyl terephthalate~|~dimethyl 1,4-benzenedicarboxylate~|~1,4-benzenedicarboxylicaciddimethylester",508.24,0.26885,772.0,0.2612,413.8,772.0
121-44-8,triethylamine,703.5,0.27386,535.15,0.2872,158.45,535.15
123-38-6,propanal~|~1-propanal~|~propionaldehyde,1296.0,0.26439,504.4,0.29471,170.0,504.4
123-51-3,isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,808.28,0.26783,577.2,0.23588,155.95,577.2
123-72-8,butanal~|~1-butanal~|~butyraldehyde,1036.1,0.26731,537.2,0.28397,176.75,537.2
123-86-4,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,677.94,0.2637,575.4,0.29318,199.65,575.4
123-91-1,"dioxane~|~p-dioxane~|~1,4-dioxane",1181.9,0.2813,587.0,0.3047,284.95,587.0
123-96-6,2-octanol,507.26,0.25972,629.8,0.22,241.55,629.8
124-07-2,caprylicacid~|~octanoic acid~|~n-octanoic acid,482.51,0.25196,694.26,0.26842,289.65,694.26
124-11-8,1-nonene,486.61,0.25722,593.1,0.28571,191.91,593.1
124-13-0,octanal~|~1-octanal,536.36,0.26174,638.9,0.26348,246.0,638.9
124-18-5,decane~|~n-decane,410.84,0.25175,617.7,0.28571,243.51,617.7
124-19-6,nonanal~|~1-nonanal,495.87,0.26135,658.0,0.30736,255.15,658.0
124-38-9,carbon dioxide,2768.0,0.26212,304.21,0.2908,216.58,304.21
124-40-3,dimethylamine,1543.6,0.27784,437.2,0.2572,180.96,437.2
131-11-3,"dimethylphthalate~|~dimethyl 1,2-benzenedicarboxylate",479.77,0.25428,766.0,0.30722,274.18,766.0
141-78-6,ethylacetate~|~ethyl ethanoate,899.6,0.25856,523.3,0.278,189.6,523.3
141-82-2,malonic acid~|~propanedioicacid,842.66,0.217,805.0,0.28571,407.95,805.0
142-29-0,cyclopentene,1103.5,0.27035,507.0,0.28699,138.13,507.0
142-62-1,hexanoicacid~|~n-hexanoicacid~|~n-pentyl formate,628.33,0.25598,660.2,0.25304,269.25,660.2
142-82-5,heptane~|~n-heptane,612.59,0.26211,540.2,0.28141,182.57,540.2
142-84-7,dipropylamine~|~1-propanamine~|~di-n-propylamine,659.0,0.26428,550.0,0.2766,210.15,550.0
142-96-1,dibutyl ether~|~di-n-butylether,559.41,0.27243,584.1,0.29932,175.3,584.1
143-08-8,1-nonanol~|~nonan-1-ol,436.82,0.25161,670.9,0.2498,268.15,670.9
143-10-2,1-decanethiol~|~decyl mercaptan~|~n-decyl mercaptan,442.89,0.27636,696.0,0.27668,247.56,696.0
144-62-7,oxalicacid,1050.1,0.215,804.0,0.28571,462.65,804.0
149-57-5,2-ethylhexanoic acid~|~2-ethyl-hexanoicacid,474.28,0.25028,674.6,0.25442,235.0,674.6
151-56-4,aziridine~|~ethyleneimine~|~azacyclopropane,1346.2,0.23289,537.0,0.23357,195.2,537.0
287-23-0,cyclobutane,1393.1,0.29255,459.93,0.24913,182.48,459.93
287-92-3,cyclopentane,1089.7,0.28356,511.7,0.25142,179.28,511.7
302-01-2,hydrazine,1051.6,0.16613,653.15,0.1898,274.69,653.15
334-48-5,decanoic acid~|~n-decanoicacid,393.48,0.2492,722.1,0.28571,304.55,722.1
352-93-2,3-thiapentane~|~diethylsulfide,822.27,0.26314,557.15,0.27369,169.2,557.15
353-36-6,r161~|~fluoroethane~|~ethyl fluoride,1652.5,0.27099,375.31,0.2442,129.95,375.31
460-19-5,cyanogen~|~ethanedinitrile,1074.3,0.20948,400.15,0.20724,245.25,400.15
462-06-6,fluorobenzene,1014.6,0.27277,560.09,0.28291,230.94,560.09
463-49-0,"propadiene~|~1,2-propadiene",1608.7,0.26543,394.0,0.29895,136.87,394.0
503-17-3,2-butyne~|~dimethylacetylene,1171.7,0.25895,473.2,0.27289,240.91,473.2
513-35-9,2-methyl-2-butene,933.91,0.27275,470.0,0.2578,139.39,470.0
513-53-1,2-butanethiol~|~sec-butyl mercaptan,891.37,0.27365,554.0,0.2953,133.02,554.0
526-73-8,"1,2,3-trimethylbenzene",653.1,0.27002,664.5,0.26268,243.15,664.5
534-15-6,"1,1-dimethoxyethane",893.68,0.26599,507.8,0.28571,159.95,507.8
539-30-0,benzyl ethyl ether~|~(ethoxymethyl)-benzene,609.17,0.26925,662.0,0.2632,275.65,662.0
540-54-5,propyl chloride~|~1-chloropropane,1087.0,0.26832,503.15,0.28055,150.35,503.15
540-67-0,methylethylether~|~ethyl methyl ether,1263.5,0.27878,437.8,0.2744,160.0,437.8
540-84-1,"isooctane~|~2,2,4-trimethylpentane",590.59,0.27424,543.8,0.2847,165.78,543.8
541-73-1,"m-dichlorobenzene~|~1,3-dichlorobenzene",744.95,0.26147,683.95,0.31526,248.39,683.95
543-49-7,2-heptanol,571.14,0.25534,608.3,0.26487,230.0,608.3
544-76-3,hexadecane~|~n-hexadecane,232.89,0.23659,723.0,0.28571,291.31,723.0
554-12-1,methylpropionate~|~methyl propanoate,914.7,0.2594,530.6,0.2774,185.65,530.6
557-17-5,1-methoxypropane~|~methylpropyl ether~|~methyl-n-propylether~|~methyl n-propyl ether,961.45,0.26536,476.25,0.30088,133.97,476.25
557-91-5,"1,1-dibromoethane",955.23,0.26364,628.0,0.29825,210.15,628.0
560-21-4,"2,3,3-trimethylpentane",602.8,0.27446,573.5,0.2741,172.22,573.5
563-46-2,2-methyl-1-butene,916.19,0.26752,465.0,0.28164,135.58,465.0
563-80-4,3-methyl-2-butanone~|~methyl isopropyl ketone,865.67,0.26836,553.4,0.28364,180.15,553.4
565-59-3,"2,3-dimethylpentane",723.52,0.28629,537.3,0.27121,160.0,537.3
565-69-5,2-methyl-3-pentanone~|~ethyl isopropyl ketone,681.62,0.25152,567.0,0.3182,204.15,567.0
565-80-0,"diisopropyl ketone~|~di-isopropyl ketone~|~2,4-dimethyl-3-pentanone",646.19,0.26881,576.0,0.28036,204.81,576.0
584-03-2,"1,2-butanediol",816.96,0.24755,680.0,0.24535,220.0,680.0
589-38-8,3-hexanone,676.66,0.25578,582.82,0.27746,217.5,582.82
590-18-1,(z)-2-butene~|~cis-2-butene,1159.1,0.27085,435.5,0.28116,134.26,435.5
590-19-2,"1,2-butadiene",1187.0,0.26114,452.0,0.3065,136.95,452.0
590-66-9,"1,1-dimethylcyclohexane",558.73,0.25143,591.15,0.27758,239.66,591.15
590-67-0,1-methylcyclohexanol,701.3,0.266,686.0,0.28571,285.15,686.0
591-78-6,2-hexanone,678.16,0.25634,587.61,0.28365,217.35,587.61
592-41-6,hexene~|~1-hexene~|~hex-1-ene,769.25,0.26809,504.0,0.28571,133.39,504.0
592-76-7,1-heptene,660.16,0.26657,537.4,0.28571,154.12,537.4
593-45-3,octadecane~|~n-octadecane,204.48,0.23474,747.0,0.28571,301.31,747.0
593-53-3,r41~|~fluoromethane~|~methyl fluoride,2185.4,0.24725,317.42,0.27558,131.35,317.42
594-82-1,"2,2,3,3-tetramethylbutane",589.88,0.27201,568.0,0.27341,373.96,568.0
598-23-2,3-methyl-1-butyne,945.75,0.26008,463.2,0.30807,183.45,463.2
598-25-4,"3-methyl-1,2-butadiene",846.23,0.24625,490.0,0.29041,159.53,490.0
598-53-8,methylisopropylether~|~isopropyl methyl ether,978.87,0.27017,464.48,0.28998,127.93,464.48
623-42-7,methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,769.83,0.26173,554.5,0.26879,187.35,554.5
624-64-6,(e)-2-butene~|~trans-2-butene,1144.8,0.27154,428.6,0.28419,167.62,428.6
624-72-6,"1,2-difluoroethane",1173.0,0.22856,445.0,0.28571,215.0,445.0
624-83-9,methyl isocyanate,1022.8,0.20692,488.0,0.28571,256.15,488.0
624-89-5,2-thiabutane~|~(methylthio)-ethane~|~methyl ethyl sulfide,1067.0,0.27102,533.0,0.29364,167.23,533.0
624-92-0,"2,3-dithiabutane~|~dimethyldisulfide",1105.8,0.27866,615.0,0.31082,188.44,615.0
625-44-5,methylisobutylether,840.05,0.27638,497.0,0.27645,150.0,497.0
625-54-7,2-ethoxy-propane~|~ethyl isopropyl ether,818.5,0.26929,489.0,0.30621,140.0,489.0
626-93-7,2-hexanol,673.93,0.25948,585.3,0.26552,223.0,585.3
627-19-0,pentyne~|~1-pentyne,849.1,0.2352,481.2,0.353,167.45,481.2
627-21-4,2-pentyne,920.99,0.25419,519.0,0.31077,163.83,519.0
628-28-4,methylbutyl ether~|~butyl methyl ether~|~methyl-n-butylether~|~methyl n-butyl ether,836.3,0.27514,512.74,0.27553,157.48,512.74
628-29-5,2-thiahexane~|~methylbutyl sulfide~|~1-(methylthio)butane~|~methyl-n-butyl sulfide~|~methyl n-butyl sulfide,755.09,0.27183,593.0,0.29127,175.3,593.0
