Clapeyron database file
ideal gas formation enthalpies and entropies at 1 bar, 298.15 K  [csvtype = single,sep = ;]
CAS;species;H0;S0
79-4-9;chloroacetyl chloride;-244800;
79-5-0;propanamide~|~propionamide;-259000;
79-6-1;acrylamide~|~2-propenamide;-130200;
79-8-3;Bromoacetic acid;-383500;337.0
79-9-4;propionic acid~|~propanoic acid~|~n-propanoic acid;-455700;
79-11-8;chloroacetic acid~|~chloroethanoic acid;-427600;325.9
79-14-1;glycolic acid~|~hydroxy-acetic acid;-583000;318.6
79-20-9;methylacetate~|~methyl ethanoate;-413300;324.4
79-24-3;nitroethane;-103800;320.5
79-29-8;2,3-dimethylbutane;-178100;
79-34-5;1,1,2,2-tetrachloroethane;-149200;362.8
79-36-7;dichloroacetyl chloride;-241000;
79-37-8;Oxalyl chloride;-335800;
79-38-9;chlorotrifluoroethylene~|~1-chloro-1,2,2-trifluroethene;-505500;322.1
79-40-3;Ethanedithioamide;83000;
79-46-9;2-nitropropane;-138900;
80-15-9;cumene-hydroperoxide~|~cumene hydroperoxide;-78400;
80-56-8;2-pinene~|~alpha-pinene~|~.alpha.-pinene;28300;
81-64-1;1,4-Dihydroxy-9,10-anthracenedione;-471700;
83-32-9;acenaphthene;156000;
84-11-7;9,10-Phenanthrenedione;-46600;
84-65-1;anthraquinone;-75700;
84-66-2;diethylphthalate~|~diethyl 1,2-benzenedioate~|~phthalic acid diethyl ester;-688400;
84-74-2;dibutylphthalate~|~di-n-butyl phthalate~|~phthalic acid dibutyl ester~|~dibutyl 1,2-benzenedicarboxylate;-750900;
85-1-8;phenanthrene;207500;
85-2-9;Benzo[f]quinoline;233700;
85-44-9;phthalic anhydride;-371400;
86-55-5;1-Naphthalenecarboxylic acid;-223100;
86-57-7;1-Nitronaphthalene;111200;
86-73-7;fluorene;175000;
86-74-8;9h-carbazole~|~dibenzopyrrole;200700;
87-61-6;1,2,3-trichlorobenzene;3800;
87-66-1;1,2,3-benzenetriol~|~1,2,3-trihydroxybenzene;-434200;
87-85-4;hexamethylbenzene;-77400;
88-14-2;2-Furancarboxylic acid;-390000;
88-69-7;2-(1-methylethyl)phenol;-182200;
88-74-4;2-nitroaniline~|~o-nitroaniline~|~2-nitrobenzeneamine;63800;
89-83-8;thymol~|~3-methyl-6-isopropylphenol~|~1-methyl-3-hydroxy-5-isopropyl benzene;-218500;
90-0-6;2-ethylphenol~|~o-ethylphenol;-145200;
90-13-1;1-chloronaphthalene;119800;
90-14-2;1-iodonaphthalene;233800;
90-15-3;1-naphthol;-30400;
90-41-5;2-aminodiphenyl~|~2-amino-1,1'-biphenyl;184400;
91-16-7;1,2-dimethoxybenzene;-223300;
91-20-3;naphthalene;150600;333.1
91-22-5;chinoline~|~quinoline;200500;
91-57-6;2-methylnaphthalene;106700;
91-58-7;2-chloronaphthalene;137400;
91-59-8;2-Naphthylamine;134300;
92-51-3;bicyclohexyl~|~1,1'-bicyclohexyl;-215700;
92-52-4;biphenyl;181400;
92-82-0;phenazine;328800;
92-85-3;thianthrene;286000;
92-94-4;p-terphenyl~|~1,1'-4',1''-terphenyl;279000;
93-9-4;2-Naphthalenecarboxylic acid;-232500;
93-58-3;methyl benzoate~|~benzoic acid methyl ester;-287900;
94-36-0;benzoylperoxide;-281700;
95-13-6;indene~|~1h-indene;163400;
95-14-7;1H-Benzotriazole;335500;
95-15-8;benzo thiophene~|~benzo(b)thiophene~|~benzo[b]thiophene;166300;
95-47-6;oxylene~|~o-xylene~|~1,2-dimethylbenzene;19100;
95-48-7;o-cresol~|~2-methylphenol;-128600;
95-50-1;o-dichloro benzene~|~1,2-dichlorobenzene;30200;
95-53-4;o-toluidine~|~2-methylaniline~|~o-methylaniline~|~2-methyl-benzeneamine;56400;351.0
95-63-6;1,2,4-trimethylbenzene;-13800;
95-65-8;3,4-xylenol~|~3,4-dimethylphenol;-157300;
95-87-4;2,5-xylenol~|~2,5-dimethylphenol;-161600;
95-92-1;ethyloxalat~|~diethyl ethanedioate;-742000;
96-14-0;3-methylpentane;-171900;
96-18-4;1,2,3-trichloropropane;-182900;
96-22-0;3-pentanone~|~pentan-3-one~|~diethylketone;-257900;
96-23-1;1,3-dichloro-2-propanol;-318400;
96-33-3;methylacrylate~|~methyl propenoate~|~2-propenoic acid methyl ester;-333000;
96-34-4;methyl chloroacetate~|~methyl chloroethanoate~|~chloroaceticacidmethylester;-444000;
96-37-7;methylcyclopentane;-106200;
96-41-3;cyclopentanol;-242500;362.9
96-48-0;gamma-butyrolactone~|~.gamma.-butyrolactone;-366500;
96-49-1;1,3-dioxolan-2-one~|~ethylene carbonate;-508400;
96-54-8;n-methylpyrrole;103100;
97-85-8;isobutylisobutyrate~|~2-methylpropyl 2-methylpropanoate;-542900;
97-94-9;Triethylborane;-157700;437.8
97-99-4;tetrahydrofurfurylalcohol~|~2-tetrahydrofurylmethanol;-369100;
98-0-0;furfuryl alcohol~|~2-hydroxymethylfuran;-211800;
98-1-1;furfural~|~2-furaldehyde;-151000;
98-6-6;tert-butylbenzene~|~(1,1-dimethylethyl)benzene;-23000;
98-51-1;p-tert-butyltoluene~|~1-(1,1-dimethylethyl)-4-methylbenzene;-57000;
98-82-8;cumene~|~isopropylbenzene;4000;
98-86-2;acetophenone~|~methyl phenyl ketone;-86700;
98-88-4;benzoyl chloride;-103200;
98-95-3;nitrobenzene;68500;348.8
99-5-8;Aniline-3-carboxylic acid;-283600;
99-9-2;m-nitroaniline~|~3-nitrobenzenamine~|~3-aminonitrobenzene;58400;
99-86-5;alpha-terpinene~|~.alpha.-terpinene~|~1-methyl-4-(1-methylethyl)-1,3-cyclohexadiene;-20600;
99-89-8;4-(1-methylethyl)phenol;-175300;
99-99-0;p-nitrotoluene~|~1-methyl-4-nitrobenzene~|~1-methyl-4-nitro-benzene;31000;
100-1-6;p-nitroaniline~|~4-aminonitrobenzene;58800;
100-21-0;terephthalic acid~|~1,4-benzenedicarboxylic acid;-717900;
100-41-4;ethylbenzene;29900;
100-42-5;styrene;147900;
100-44-7;benzyl chloride~|~(chloromethyl)benzene~|~(chloromethyl)-benzene;18900;
100-46-9;benzylamine~|~alpha-aminotoluene;94400;
100-47-0;benzonitrile;215700;
100-51-6;benzylalcohol~|~benzenemethanol;-100400;
100-52-7;benzaldehyde;-36700;
100-63-0;phenylhydrazine;202900;
100-66-3;anisole~|~methoxybenzene~|~methyl phenyl ether;-67900;
100-75-4;1-nitrosopiperidine;16600;
101-81-5;diphenylmethane;139000;
101-84-8;diphenyl ether;52000;
102-69-2;tripropylamine~|~n,n-dipropyl-1-propanamine;-161000;
102-71-6;triethanolamine;-558300;
102-76-1;glycerol-triacetate~|~glyceryl triacetate~|~glyceryl triethanoate~|~1,2,3-propanetriol-triacetate;-1245000;
103-29-7;1,2-diphenylethane~|~1,1'-(1,2-ethanediyl)bis-benzene;142900;
103-30-0;trans-stilbene~|~(e)-1,1'-(1,2-ethenediyl)bis-benzene;236100;
103-65-1;propylbenzene~|~n-propylbenzene;7900;
103-69-5;ethylaniline~|~n-ethylaniline~|~n-ethylaminobenzene;56300;
103-73-1;phenetole~|~ethoxybenzene;-101600;
104-51-8;butylbenzene~|~n-butylbenzene;-11800;
104-72-3;decylbenzene~|~n-decylbenzene~|~1-phenyldecane;-138600;
104-76-7;2-ethyl-1-hexanol;-365300;
105-37-3;ethylpropionate~|~ethyl propanoate~|~propanoic acid ethyl ester;-463400;
105-57-7;acetal~|~1,1-diethoxyethane;-453500;
105-58-8;diethyl carbonate~|~carbonic acid diethyl ester;-637900;
105-60-2;caprolactam~|~epsilon-caprolactam~|~1-aza-2-cycloheptanone;-239600;
105-67-9;2,4-xylenol~|~2,4-dimethylphenol;-163800;
106-35-4;3-heptanone;-297100;
106-42-3;pxylene~|~p-xylene~|~1,4-dimethylbenzene;18000;
106-44-5;p-cresol~|~4-methylphenol;-125400;
106-46-7;p-dichlorobenzene~|~1,4-dichlorobenzene;22500;
106-49-0;p-toluidine~|~4-methylaniline~|~p-methylaniline;55300;347.0
106-51-4;quinone;-122900;
106-70-7;methyl hexanoate~|~hexanoic acid methyl ester;-492200;
106-73-0;methyl heptanoate;-515500;
106-93-4;1,2-dibromoethane;-37500;
106-94-5;1-bromopropane~|~propyl bromide;-87000;
106-95-6;3-bromo-1-propene;45200;
106-97-8;butane~|~n-butane;-125700;
106-98-9;butene~|~1-butene;100;
106-99-0;butadiene~|~1,3-butadiene;110000;
107-0-6;butyne~|~1-butyne~|~ethylacetylene;165200;
107-3-9;1-propanethiol~|~propyl mercaptan~|~n-propyl mercaptan;-67800;
107-6-2;dichloroethane~|~1,2-dichloroethane;-126400;308.4
107-8-4;1-iodopropane~|~n-propyl iodide;-30000;
107-10-8;propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine;-70100;325.4
107-12-0;propionitrile~|~propanenitrile;51700;
107-13-1;acrylonitrile~|~2-propenenitrile;180600;
107-15-3;ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine;-18000;
107-18-6;2-propenol~|~2-propen-1-ol~|~allyl alcohol;-124500;
107-21-1;glycol~|~1,2-ethanediol~|~ethylene glycol;-392200;303.8
107-22-2;ethanedial;-212000;272.5
107-31-3;methylformate~|~methyl methanoate;-357400;285.3
107-39-1;2,4,4-trimethyl-1-pentene;-110500;
107-40-4;2,2,4-trimethyl-2-pentene~|~2,4,4-trimethyl-2-pentene;-104900;
107-46-0;mm~|~hexamethyldisiloxane;-777700;535.0
107-47-1;di-tert-butyl sulfide~|~2,2,4,4-tetramethyl-3-thiapentane;-188800;
107-83-5;isohexane~|~2-methylpentane;-174600;
107-84-6;1-Chloro-3-methylbutane;-179700;
107-87-9;2-pentanone~|~pentan-2-one~|~methyln-propylketone;-258800;
107-88-0;1,3-butanediol;-433200;
107-92-6;butyric acid~|~butanoic acid~|~n-butyric acid~|~n-butanoic acid;-475900;
107-95-9;β-Alanine;-424000;
107-97-1;Sarcosine;-367300;
108-1-0;dmmea~|~dimethylethanolamine~|~n,n-dimethylethanolamine~|~2-(dimethylamino)-ethanol~|~2-(n,n-dimethylamino)ethanol;-203600;
108-3-2;1-nitropropane;-124300;350.0
108-5-4;vinyl acetate;-314400;
108-8-7;2,4-dimethylpentane;-201600;
108-18-9;diisopropylamine~|~di-isopropyl amine;-143800;
108-20-3;diisopropyl ether~|~di-isopropyl ether;-319200;
108-21-4;isopropylacetate~|~1-methylethyl ethanoate~|~acetic acid isopropyl ester;-481600;
108-24-7;acetic anhydride~|~ethanoic anhydride;-572500;
108-29-2;gamma-valerolactone~|~tetrahydro-5-methyl-2-furanone~|~dihydro-5-methyl-2(3h)-furanone;-406500;
108-30-5;succinic anhydride;-527900;
108-31-6;maleic anhydride;-398300;
108-32-7;propylenecarbonate~|~4-methyl-1,3-dioxolan-2-one;-582500;
108-38-3;mxylene~|~m-xylene~|~1,3-dimethylbenzene;17300;
108-39-4;m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene;-132300;
108-44-1;m-toluidine~|~3-methylaniline~|~m-methylaniline;54600;352.5
108-46-3;resorcinol~|~1,3-benzenediol~|~1,3-dihydroxybenzene;-274700;
108-47-4;2,4-dimethylpyridine;63600;
108-48-5;2,6-dimethylpyridine;58100;
108-64-5;ethyl isovalerate~|~3-methylbutanoicacidethylester;-527000;
108-67-8;mesitylene~|~1,3,5-trimethylbenzene;-15900;
108-68-9;3,5-xylenol~|~3,5-dimethylphenol;-162400;
108-70-3;1,3,5-trichlorobenzene;-13400;
108-73-6;1,3,5-Benzenetriol;-452900;
108-83-8;diisobutyl ketone~|~2,6-dimethyl-4-heptanone;-357600;
108-87-2;methylcyclohexane;-154700;
108-88-3;toluene;50500;
108-89-4;4-methylpyridine;103800;
108-90-7;chlorobenzene~|~monochlorobenzene;52000;
108-91-8;cyclohexylamine;-104000;
108-93-0;cyclohexanol;-286200;
108-94-1;cyclohexanone;-226100;
108-95-2;phenol;-96400;
108-98-5;benzenethiol~|~phenyl mercaptan;111300;
108-99-6;3-picoline~|~3-methylpyridine;106400;
109-6-8;2-methylpyridine;99200;
109-52-4;bucooh~|~n-bucooh~|~pentanoic acid~|~n-pentanoic acid;-491900;
109-61-5;propyl chloroformate;-492700;
109-65-9;1-bromobutane~|~butyl bromide;-107100;
109-66-0;pentane~|~n-pentane;-146900;
109-67-1;pentene~|~1-pentene;-21100;
109-69-3;1-chlorobutane~|~butyl chloride~|~n-butyl chloride;-154400;
109-73-9;butylamine~|~1-butylamine~|~n-butylamine~|~1-butanamine;-91900;
109-74-0;butyronitrile~|~butanenitrile~|~n-butyronitrile;33600;
109-75-1;allylcyanide~|~3-butenenitrile~|~vinylacetonitrile;159700;
109-77-3;Malononitrile;265500;
109-79-5;butanethiol~|~1-butanethiol~|~butyl mercaptan~|~n-butyl mercaptan;-88000;
109-80-8;1,3-Propanedithiol;-29800;
109-87-5;methylal~|~dimethoxymethane;-348500;
109-89-7;diethylamine~|~n,n-diethylamine;-72200;
109-92-2;ethoxy-ethene~|~ethyl vinyl ether;-140800;
109-93-3;divinyl ether;-13600;
109-97-7;pyrrole;108200;
109-99-9;thf~|~tetrahydrofuran;-184100;302.4
110-0-9;furan;-34800;267.2
110-1-0;tetrahydrothiophene;-34100;309.6
110-2-1;thiophene;114900;278.8
110-6-5;di-tert-butyl disulfide;-201000;
110-15-6;succinic acid;-823000;
110-16-7;maleic acid~|~(z)-2-butenedioic acid;-679400;
110-17-8;fumaric acid;-675800;
110-42-9;methyl decanoate~|~decanoicacidmethylester;-573800;
110-52-1;1,4-dibromobutane;-87800;
110-53-2;1-bromopentane;-128900;
110-54-3;hexane~|~n-hexane;-166900;
110-56-5;1,4-dichlorobutane;-183400;
110-59-8;valeronitrile~|~pentanenitrile;10500;
110-61-2;butanedinitrile;209700;
110-62-3;pentanal~|~1-pentanal~|~valeraldehyde;-228400;
110-63-4;1,4-butadiol~|~1,4-butanediol;-428700;
110-66-7;1-pentanethiol~|~pentyl mercaptan~|~n-pentyl mercaptan;-110000;
110-74-7;propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate~|~formic acid propyl ester;-462700;
110-75-8;2-Chloroethyl vinyl ether;-170100;
110-81-6;diethyldisulfide~|~3,4-dithiahexane;-79400;
110-82-7;cyclohexane;-123400;
110-83-8;cyclohexene;-5000;
110-86-1;pyridine;140400;
110-88-3;trioxane~|~1,3,5-trioxane;-465900;
110-89-4;piperidine;-47100;
110-96-3;diisobutylamine~|~2-methyl-n-(2-methylpropyl)-1-propanamine;-179200;
111-11-5;methyl octanoate~|~methyl caprylate~|~octanoic acid methyl ester;-533900;
111-14-8;heptanoic acid~|~n-heptanoic acid;-536200;
111-20-6;decanedioic acid;-921900;
111-25-1;1-bromohexane;-148300;
111-27-3;1-hexanol~|~hexan-1-ol;-315900;
111-29-5;1,5-pentanediol;-450800;
111-31-9;1-hexanethiol~|~hexyl mercaptan~|~n-hexyl mercaptan;-129900;
111-34-2;butylvinylether~|~1-(ethenyloxy)butane;-182600;
111-42-2;dea~|~diethanolamine~|~2,2'-diethanolamine;-397100;
111-43-3;dipropyl ether~|~di-n-propylether;-293000;
111-46-6;deg~|~diethylene glycol;-571200;
111-65-9;octane~|~n-octane;-208500;
111-66-0;octene~|~1-octene~|~oct-1-ene;-81300;
111-69-3;adiponitrile~|~hexanedinitrile~|~1,4-dicyanobutane;149500;
111-70-6;1-heptanol~|~heptan-1-ol;-336500;
111-71-7;heptanal~|~1-heptanal;-263800;
111-82-0;methyl dodecanoate~|~dodecanoicacidmethylester;-614900;
111-83-1;1-bromooctane;-189300;
111-84-2;nonane~|~n-nonane;-228200;
111-85-3;1-chlorooctane;-238900;
111-87-5;1-octanol~|~octan-1-ol;-355600;
111-92-2;dibutylamine~|~di-n-butylamine;-156600;
112-5-0;nonanoic acid~|~n-nonanoic acid;-577300;
112-27-6;teg~|~triethylene glycol;-725000;
112-30-1;1-decanol~|~decan-1-ol;-396600;
112-40-3;dodecane~|~n-dodecane;-289400;
112-41-4;1-dodecene;-165400;
112-52-7;1-chlorododecane;-321100;
112-53-8;dodecanol~|~1-dodecanol~|~dodecan-1-ol;-436600;
112-60-7;tetraethylene glycol~|~3,6,9-trioxa-1,11-undecanediol~|~2,2'-oxybis(2,1-ethanediyloxy)bisethanol;-883000;
112-62-9;methyloleate~|~methyl cis-9-octadecenoate;-649900;
112-82-3;1-Bromohexadecane;-350200;
115-7-1;propene~|~propylene;20000;
115-10-6;dimethyl ether;-184100;266.4
115-11-7;isobutene~|~isobutylene~|~2-methylpropene;-16900;
115-25-3;rc318~|~perfluorocyclobutane~|~octafluorocyclobutane;-1542600;
115-77-5;pentaerythritol;-776700;
116-14-3;tetrafluoroethene~|~tetrafluoroethylene;-658900;300.1
118-74-1;hexachlorobenzene;-35500;
118-91-2;o-chlorobenzoic acid~|~2-chloro-benzoic acid;-325000;
118-92-3;Aniline-2-carboxylic acid;-296000;
119-61-9;benzophenone;54900;
119-64-2;tetralin~|~1,2,3,4-tetrahydronaphthalene;26000;
119-65-3;isoquinoline;204600;
120-12-7;anthracene;230900;
120-72-9;indole~|~1h-indole;156500;
120-80-9;pyrocatechol~|~1,2-benzenediol~|~1,2-dihydroxybenzene;-267500;
120-82-1;1,2,4-trichlorobenzene;-8100;
120-83-2;2,4-dichlorophenol;-156300;
120-92-3;cyclopentanone;-192100;
121-14-2;2,4-dinitrotoluene~|~1-methyl-2,4-dinitrobenzene;33200;
121-44-8;triethylamine;-92700;
121-69-7;n,n-dimethylaniline~|~n n-dimethylaniline;100500;
121-82-4;rdx;192000;482.4
121-91-5;isophthalic acid~|~1,3-benzenedicarboxylic acid;-696300;
122-39-4;diphenylamine;219300;
123-5-7;2-ethyl-hexanal~|~2-ethyl hexanal~|~2-ethylhexanaldehyde;-299600;
123-7-9;4-ethylphenol~|~p-ethylphenol;-144100;
123-19-3;4-heptanone;-298300;
123-31-9;hydroquinone~|~p-hydroquinone~|~1,4-benzenediol;-265300;
123-38-6;propanal~|~1-propanal~|~propionaldehyde;-185600;304.5
123-51-3;isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol;-300700;
123-54-6;acetylacetone~|~2,4-pentanedione;-382000;
123-56-8;succinimide;-375400;
123-62-6;propionic anhydride~|~propanoic anhydride;-626500;
123-63-7;paraldehyde~|~2,4,6-trimethyl-1,3,5-trioxane;-631700;
123-72-8;butanal~|~1-butanal~|~butyraldehyde;-204800;343.7
123-73-9;trans-crotonaldehyde;-100600;
123-75-1;pyrrolidine;-3600;
123-86-4;butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate;-485300;
123-91-1;dioxane~|~p-dioxane~|~1,4-dioxane;-315300;
